"species","forest_sp","agriculture_sp","generalist_sp"
"Acanthis flammea",1,0,0
"Accipiter brevipes",1,0,0
"Accipiter gentilis",1,0,0
"Accipiter nisus",0,0,1
"Acridotheres cristatellus",0,1,0
"Acridotheres tristis",0,0,1
"Acrocephalus agricola",0,0,1
"Acrocephalus arundinaceus",0,0,1
"Acrocephalus dumetorum",1,0,0
"Acrocephalus melanopogon",0,0,1
"Acrocephalus paludicola",0,1,0
"Acrocephalus palustris",1,0,0
"Acrocephalus schoenobaenus",0,1,0
"Acrocephalus scirpaceus",0,0,1
"Actitis hypoleucos",0,0,1
"Actitis macularius",0,0,1
"Aegithalos caudatus",0,0,1
"Aegolius funereus",1,0,0
"Aegypius monachus",1,0,0
"Agapornis fischeri",0,0,1
"Agapornis personatus",0,0,1
"Aix galericulata",1,0,0
"Aix sponsa",1,0,0
"Alauda arvensis",0,1,0
"Alaudala rufescens",0,0,1
"Alca torda",0,0,1
"Alcedo atthis",1,0,0
"Alces alces",0,0,1
"Alectoris barbara",0,0,1
"Alectoris chukar",0,0,1
"Alectoris graeca",1,0,0
"Alectoris rufa",0,0,1
"Alexandrinus krameri",0,0,1
"Alexandromys oeconomus",0,0,1
"Alopochen aegyptiaca",0,0,1
"Amandava amandava",0,0,1
"Amazona aestiva",1,0,0
"Amazona oratrix",0,0,1
"Anas acuta",0,0,1
"Anas bahamensis",0,0,1
"Anas crecca",0,0,1
"Anas platyrhynchos",0,0,1
"Anas rubripes",0,0,1
"Anser albifrons",0,1,0
"Anser anser",0,1,0
"Anser brachyrhynchus",0,1,0
"Anser caerulescens",0,0,1
"Anser canagicus",0,0,1
"Anser cygnoid",0,1,0
"Anser erythropus",0,1,0
"Anser fabalis",0,1,0
"Anser indicus",0,1,0
"Anthus campestris",1,0,0
"Anthus cervinus",0,1,0
"Anthus petrosus",0,0,1
"Anthus pratensis",0,1,0
"Anthus spinoletta",0,0,1
"Anthus trivialis",0,0,1
"Apodemus agrarius",0,0,1
"Apodemus alpicola",1,0,0
"Apodemus epimelas",0,0,1
"Apodemus flavicollis",1,0,0
"Apodemus mystacinus",1,0,0
"Apodemus sylvaticus",0,0,1
"Apodemus uralensis",0,0,1
"Apus affinis",0,0,1
"Apus apus",0,0,1
"Apus caffer",0,0,1
"Apus pallidus",0,0,1
"Aquila adalberti",0,0,1
"Aquila chrysaetos",1,0,0
"Aquila fasciata",0,0,1
"Aquila heliaca",0,0,1
"Aratinga nenday",1,0,0
"Ardea alba",0,0,1
"Ardea cinerea",1,0,0
"Ardea purpurea",0,0,1
"Ardeola ralloides",0,0,1
"Arenaria interpres",0,0,1
"Arvicola amphibius",0,0,1
"Arvicola sapidus",0,0,1
"Asio flammeus",0,1,0
"Asio otus",1,0,0
"Atelerix algirus",0,0,1
"Athene noctua",0,1,0
"Aythya affinis",0,0,1
"Aythya collaris",0,0,1
"Aythya ferina",0,0,1
"Aythya fuligula",0,0,1
"Aythya marila",0,0,1
"Aythya nyroca",0,0,1
"Barbastella barbastellus",1,0,0
"Bison bonasus",0,0,1
"Bombycilla garrulus",0,0,1
"Botaurus stellaris",0,1,0
"Branta canadensis",0,1,0
"Branta hutchinsii",0,1,0
"Branta leucopsis",0,1,0
"Bubo bubo",0,0,1
"Bubo scandiacus",0,1,0
"Bubulcus ibis",0,0,1
"Bucanetes githagineus",0,0,1
"Bucephala clangula",1,0,0
"Burhinus oedicnemus",0,1,0
"Buteo buteo",0,1,0
"Buteo lagopus",0,0,1
"Buteo rufinus",0,0,1
"Cairina moschata",1,0,0
"Calandrella brachydactyla",0,1,0
"Calcarius lapponicus",0,1,0
"Calidris alpina",0,1,0
"Calidris falcinellus",0,1,0
"Calidris maritima",0,0,1
"Calidris melanotos",0,0,1
"Calidris minuta",0,0,1
"Calidris pugnax",0,1,0
"Calidris temminckii",0,0,1
"Callonetta leucophrys",0,0,1
"Calonectris borealis",0,0,1
"Calonectris diomedea",0,0,1
"Canis aureus",0,0,1
"Canis lupus",0,0,1
"Capra ibex",0,0,1
"Capra pyrenaica",1,0,0
"Capreolus capreolus",0,0,1
"Caprimulgus europaeus",0,0,1
"Caprimulgus ruficollis",1,0,0
"Carduelis carduelis",0,0,1
"Carduelis citrinella",1,0,0
"Carpodacus erythrinus",0,0,1
"Castor fiber",0,0,1
"Catharacta skua",0,0,1
"Cecropis daurica",0,0,1
"Cepphus grylle",0,0,1
"Cercotrichas galactotes",0,0,1
"Certhia brachydactyla",0,0,1
"Certhia familiaris",1,0,0
"Cervus elaphus",0,0,1
"Cettia cetti",1,0,0
"Charadrius alexandrinus",0,0,1
"Charadrius dubius",1,0,0
"Charadrius hiaticula",0,1,0
"Chersophilus duponti",0,0,1
"Chionomys syriacus",0,0,1
"Chlidonias hybrida",0,1,0
"Chlidonias leucopterus",0,1,0
"Chlidonias niger",0,1,0
"Chloephaga picta",0,1,0
"Chloris chloris",0,0,1
"Chrysolophus amherstiae",1,0,0
"Chrysolophus pictus",1,0,0
"Ciconia ciconia",0,1,0
"Ciconia nigra",0,0,1
"Cinclus cinclus",0,0,1
"Circaetus gallicus",1,0,0
"Circus aeruginosus",0,1,0
"Circus cyaneus",0,0,1
"Circus macrourus",0,0,1
"Circus pygargus",0,0,1
"Cisticola juncidis",0,1,0
"Clamator glandarius",0,1,0
"Clanga clanga",0,0,1
"Clanga pomarina",1,0,0
"Clangula hyemalis",0,0,1
"Clethrionomys glareolus",1,0,0
"Clethrionomys rutilus",1,0,0
"Coccothraustes coccothraustes",1,0,0
"Colinus virginianus",0,0,1
"Columba livia",0,1,0
"Columba oenas",0,0,1
"Columba palumbus",0,0,1
"Coracias garrulus",0,0,1
"Corvus corax",1,0,0
"Corvus corone",0,0,1
"Corvus frugilegus",0,0,1
"Corvus monedula",0,0,1
"Corvus splendens",0,0,1
"Coturnix coturnix",0,1,0
"Craseomys rufocanus",1,0,0
"Crex crex",0,1,0
"Cricetus cricetus",0,1,0
"Crocidura leucodon",0,0,1
"Crocidura russula",0,1,0
"Crocidura suaveolens",0,0,1
"Cuculus canorus",0,0,1
"Cuculus saturatus",1,0,0
"Curruca cantillans",1,0,0
"Curruca communis",0,0,1
"Curruca conspicillata",0,0,1
"Curruca crassirostris",1,0,0
"Curruca curruca",0,0,1
"Curruca hortensis",1,0,0
"Curruca melanocephala",0,0,1
"Curruca nisoria",0,0,1
"Curruca ruppeli",0,0,1
"Curruca subalpina",0,0,1
"Curruca undata",1,0,0
"Cursorius cursor",0,0,1
"Cyanistes caeruleus",0,0,1
"Cyanopica cooki",0,0,1
"Cyanopica cyanus",1,0,0
"Cygnus atratus",0,0,1
"Cygnus cygnus",0,1,0
"Cygnus olor",0,1,0
"Dama dama",1,0,0
"Delichon urbicum",0,0,1
"Dendrocopos leucotos",1,0,0
"Dendrocopos major",1,0,0
"Dendrocopos syriacus",0,0,1
"Dinaromys bogdanovi",0,0,1
"Dryobates minor",1,0,0
"Dryocopus martius",1,0,0
"Dryomys nitedula",1,0,0
"Egretta garzetta",0,0,1
"Egretta gularis",1,0,0
"Elanus caeruleus",0,0,1
"Eliomys quercinus",1,0,0
"Emberiza aureola",1,0,0
"Emberiza caesia",0,1,0
"Emberiza calandra",0,1,0
"Emberiza cia",1,0,0
"Emberiza cirlus",0,0,1
"Emberiza citrinella",0,0,1
"Emberiza hortulana",0,0,1
"Emberiza melanocephala",0,0,1
"Emberiza pusilla",1,0,0
"Emberiza rustica",1,0,0
"Emberiza schoeniclus",0,0,1
"Eptesicus nilssonii",0,0,1
"Eptesicus serotinus",0,0,1
"Eremophila alpestris",0,1,0
"Erinaceus concolor",0,0,1
"Erinaceus europaeus",0,0,1
"Erinaceus roumanicus",0,0,1
"Erithacus rubecula",0,0,1
"Estrilda astrild",0,0,1
"Estrilda melpoda",1,0,0
"Estrilda troglodytes",0,1,0
"Eudromias morinellus",0,1,0
"Euodice malabarica",0,0,1
"Euplectes afer",0,1,0
"Eutamias sibiricus",1,0,0
"Falco biarmicus",1,0,0
"Falco cherrug",0,0,1
"Falco columbarius",0,0,1
"Falco eleonorae",0,0,1
"Falco naumanni",0,1,0
"Falco peregrinus",1,0,0
"Falco rusticolus",0,0,1
"Falco subbuteo",0,0,1
"Falco tinnunculus",0,0,1
"Falco vespertinus",0,0,1
"Felis silvestris",0,0,1
"Ficedula albicollis",0,0,1
"Ficedula hypoleuca",0,0,1
"Ficedula parva",1,0,0
"Ficedula semitorquata",0,0,1
"Fratercula arctica",0,0,1
"Fringilla coelebs",0,0,1
"Fringilla montifringilla",0,0,1
"Fulica atra",0,1,0
"Fulica cristata",0,0,1
"Fulmarus glacialis",0,0,1
"Galemys pyrenaicus",0,0,1
"Galerida cristata",0,1,0
"Galerida theklae",0,1,0
"Gallinago gallinago",0,0,1
"Gallinago media",0,1,0
"Gallinula chloropus",0,0,1
"Gallus gallus",0,0,1
"Garrulus glandarius",1,0,0
"Gavia arctica",0,0,1
"Gavia immer",0,0,1
"Gavia stellata",0,0,1
"Gelochelidon nilotica",0,0,1
"Genetta genetta",1,0,0
"Geronticus eremita",0,1,0
"Glareola nordmanni",0,1,0
"Glareola pratincola",0,1,0
"Glaucidium passerinum",1,0,0
"Glis glis",1,0,0
"Grus grus",0,1,0
"Gulo gulo",1,0,0
"Gulosus aristotelis",0,0,1
"Gypaetus barbatus",0,0,1
"Gyps fulvus",0,0,1
"Haematopus ostralegus",0,1,0
"Haliaeetus albicilla",1,0,0
"Hemiechinus auritus",0,1,0
"Herpestes ichneumon",0,0,1
"Hieraaetus pennatus",0,0,1
"Himantopus himantopus",0,1,0
"Hippolais icterina",1,0,0
"Hippolais olivetorum",1,0,0
"Hippolais polyglotta",0,0,1
"Hirundo rustica",0,1,0
"Hydrobates castro",0,0,1
"Hydrobates leucorhous",0,0,1
"Hydrobates pelagicus",0,0,1
"Hydrocoloeus minutus",0,0,1
"Hydroprogne caspia",0,0,1
"Hypsugo savii",0,0,1
"Hystrix cristata",0,0,1
"Iduna caligata",0,1,0
"Iduna opaca",0,0,1
"Iduna pallida",0,0,1
"Ixobrychus minutus",0,0,1
"Jynx torquilla",0,0,1
"Lagopus lagopus",1,0,0
"Lagopus muta",0,0,1
"Lagurus lagurus",0,1,0
"Lanius collurio",0,0,1
"Lanius excubitor",1,0,0
"Lanius meridionalis",0,0,1
"Lanius minor",0,1,0
"Lanius nubicus",0,0,1
"Lanius senator",0,0,1
"Larus argentatus",0,1,0
"Larus audouinii",0,0,1
"Larus cachinnans",0,1,0
"Larus canus",0,1,0
"Larus delawarensis",0,0,1
"Larus fuscus",0,1,0
"Larus genei",0,0,1
"Larus marinus",0,1,0
"Larus melanocephalus",0,1,0
"Larus michahellis",0,1,0
"Larus ridibundus",0,1,0
"Leiopicus medius",1,0,0
"Leiothrix lutea",1,0,0
"Lemmus lemmus",0,0,1
"Lepus capensis",0,1,0
"Lepus castroviejoi",0,0,1
"Lepus corsicanus",0,0,1
"Lepus europaeus",0,0,1
"Lepus granatensis",0,0,1
"Lepus timidus",0,0,1
"Limosa lapponica",0,0,1
"Limosa limosa",0,1,0
"Linaria cannabina",0,1,0
"Linaria flavirostris",0,0,1
"Locustella fluviatilis",1,0,0
"Locustella lanceolata",1,0,0
"Locustella luscinioides",0,0,1
"Locustella naevia",0,1,0
"Lonchura punctulata",0,0,1
"Lophophanes cristatus",1,0,0
"Loxia curvirostra",1,0,0
"Loxia leucoptera",1,0,0
"Loxia pytyopsittacus",1,0,0
"Loxia scotica",1,0,0
"Lullula arborea",0,0,1
"Luscinia luscinia",0,0,1
"Luscinia megarhynchos",0,0,1
"Luscinia svecica",0,0,1
"Lutra lutra",0,0,1
"Lymnocryptes minimus",0,0,1
"Lynx lynx",1,0,0
"Lynx pardinus",1,0,0
"Lyrurus tetrix",0,0,1
"Mareca penelope",0,0,1
"Mareca strepera",0,0,1
"Marmaronetta angustirostris",0,1,0
"Marmota marmota",0,1,0
"Martes foina",0,0,1
"Martes martes",1,0,0
"Martes zibellina",1,0,0
"Melanitta fusca",1,0,0
"Melanitta nigra",0,0,1
"Melanocorypha calandra",0,1,0
"Meleagris gallopavo",0,0,1
"Meles meles",0,0,1
"Mergellus albellus",1,0,0
"Mergus merganser",1,0,0
"Mergus serrator",1,0,0
"Merops apiaster",0,0,1
"Mesocricetus newtoni",0,1,0
"Microcarbo pygmaeus",1,0,0
"Micromys minutus",0,0,1
"Microtus agrestis",0,0,1
"Microtus arvalis",0,0,1
"Microtus brachycercus",0,0,1
"Microtus cabrerae",0,0,1
"Microtus duodecimcostatus",0,0,1
"Microtus gerbii",0,0,1
"Microtus guentheri",0,1,0
"Microtus liechtensteini",0,0,1
"Microtus lusitanicus",0,0,1
"Microtus multiplex",0,0,1
"Microtus mystacinus",0,0,1
"Microtus savii",0,0,1
"Microtus subterraneus",0,0,1
"Microtus tatricus",1,0,0
"Microtus thomasi",0,1,0
"Milvus migrans",1,0,0
"Milvus milvus",0,0,1
"Miniopterus schreibersii",0,0,1
"Monticola saxatilis",0,0,1
"Monticola solitarius",0,0,1
"Montifringilla nivalis",0,0,1
"Morus bassanus",0,0,1
"Motacilla alba",0,1,0
"Motacilla cinerea",0,1,0
"Motacilla citreola",0,1,0
"Motacilla flava",0,0,1
"Mus macedonicus",0,0,1
"Mus musculus",0,1,0
"Mus spicilegus",0,1,0
"Mus spretus",0,0,1
"Muscardinus avellanarius",1,0,0
"Muscicapa striata",0,0,1
"Mustela erminea",0,0,1
"Mustela eversmanii",0,1,0
"Mustela lutreola",0,0,1
"Mustela nivalis",0,0,1
"Mustela putorius",0,0,1
"Myiopsitta monachus",0,0,1
"Myomimus roachi",1,0,0
"Myopus schisticolor",1,0,0
"Myotis alcathoe",1,0,0
"Myotis bechsteinii",1,0,0
"Myotis blythii",0,0,1
"Myotis brandtii",1,0,0
"Myotis capaccinii",0,0,1
"Myotis dasycneme",1,0,0
"Myotis daubentonii",1,0,0
"Myotis davidii",0,0,1
"Myotis emarginatus",0,0,1
"Myotis myotis",0,0,1
"Myotis mystacinus",1,0,0
"Myotis nattereri",0,0,1
"Nannospalax leucodon",0,1,0
"Neomys anomalus",0,1,0
"Neomys fodiens",0,0,1
"Neophron percnopterus",0,1,0
"Netta rufina",0,0,1
"Nothocricetulus migratorius",0,1,0
"Nucifraga caryocatactes",1,0,0
"Numenius arquata",0,1,0
"Numenius phaeopus",0,0,1
"Numida meleagris",0,0,1
"Nyctalus lasiopterus",1,0,0
"Nyctalus leisleri",0,0,1
"Nyctalus noctula",0,0,1
"Nycticorax nycticorax",0,0,1
"Oenanthe hispanica",0,1,0
"Oenanthe isabellina",0,0,1
"Oenanthe leucura",1,0,0
"Oenanthe oenanthe",0,1,0
"Oenanthe pleschanka",0,0,1
"Oriolus oriolus",1,0,0
"Oryctolagus cuniculus",0,0,1
"Otis tarda",0,0,1
"Otus scops",0,0,1
"Oxyura jamaicensis",0,0,1
"Oxyura leucocephala",0,0,1
"Palaeornis eupatria",1,0,0
"Pandion haliaetus",0,0,1
"Panurus biarmicus",0,0,1
"Parabuteo unicinctus",1,0,0
"Parus major",0,0,1
"Passer domesticus",0,0,1
"Passer hispaniolensis",0,0,1
"Passer italiae",0,0,1
"Passer montanus",0,0,1
"Pastor roseus",1,0,0
"Pavo cristatus",0,0,1
"Pelecanus crispus",0,0,1
"Pelecanus onocrotalus",0,0,1
"Perdix perdix",0,1,0
"Periparus ater",1,0,0
"Perisoreus infaustus",1,0,0
"Pernis apivorus",0,0,1
"Petronia petronia",0,0,1
"Phalacrocorax carbo",0,0,1
"Phalaropus fulicarius",0,0,1
"Phalaropus lobatus",0,0,1
"Phasianus colchicus",0,0,1
"Phoeniconaias minor",0,0,1
"Phoenicopterus chilensis",0,0,1
"Phoenicopterus roseus",0,0,1
"Phoenicopterus ruber",0,0,1
"Phoenicurus ochruros",0,0,1
"Phoenicurus phoenicurus",0,0,1
"Phylloscopus bonelli",1,0,0
"Phylloscopus borealis",0,0,1
"Phylloscopus collybita",1,0,0
"Phylloscopus ibericus",1,0,0
"Phylloscopus orientalis",1,0,0
"Phylloscopus sibilatrix",1,0,0
"Phylloscopus trochiloides",0,0,1
"Phylloscopus trochilus",0,0,1
"Pica pica",0,0,1
"Picoides tridactylus",1,0,0
"Picus canus",1,0,0
"Picus sharpei",0,0,1
"Picus viridis",0,0,1
"Pinicola enucleator",0,0,1
"Pionus maximiliani",1,0,0
"Pipistrellus kuhlii",0,0,1
"Pipistrellus nathusii",1,0,0
"Pipistrellus pipistrellus",0,0,1
"Pipistrellus pygmaeus",1,0,0
"Platalea leucorodia",1,0,0
"Plecotus auritus",1,0,0
"Plecotus austriacus",0,0,1
"Plecotus kolombatovici",0,0,1
"Plecotus macrobullaris",0,0,1
"Plectrophenax nivalis",0,1,0
"Plegadis falcinellus",0,1,0
"Ploceus melanocephalus",0,0,1
"Pluvialis apricaria",0,1,0
"Podiceps auritus",0,0,1
"Podiceps cristatus",0,0,1
"Podiceps grisegena",0,0,1
"Podiceps nigricollis",0,0,1
"Poecile cinctus",1,0,0
"Poecile lugubris",0,0,1
"Poecile montanus",1,0,0
"Poecile palustris",1,0,0
"Poicephalus senegalus",0,0,1
"Porphyrio porphyrio",0,0,1
"Porzana porzana",0,1,0
"Prunella collaris",0,1,0
"Prunella modularis",0,0,1
"Psittacara acuticaudatus",1,0,0
"Psittacara erythrogenys",0,0,1
"Psittacara mitratus",1,0,0
"Pterocles alchata",0,1,0
"Pterocles orientalis",0,1,0
"Pteromys volans",1,0,0
"Ptyonoprogne rupestris",0,1,0
"Puffinus mauretanicus",0,0,1
"Puffinus puffinus",0,0,1
"Puffinus yelkouan",0,0,1
"Pycnonotus barbatus",0,0,1
"Pycnonotus jocosus",0,0,1
"Pyrrhocorax graculus",0,1,0
"Pyrrhocorax pyrrhocorax",0,1,0
"Pyrrhula pyrrhula",0,0,1
"Rallus aquaticus",0,0,1
"Rangifer tarandus",1,0,0
"Rattus rattus",0,1,0
"Recurvirostra avosetta",0,0,1
"Regulus ignicapilla",1,0,0
"Regulus regulus",1,0,0
"Remiz pendulinus",1,0,0
"Rhea americana",0,1,0
"Rhinolophus blasii",0,0,1
"Rhinolophus euryale",1,0,0
"Rhinolophus ferrumequinum",0,0,1
"Rhinolophus hipposideros",1,0,0
"Rhinolophus mehelyi",1,0,0
"Riparia riparia",0,0,1
"Rissa tridactyla",0,0,1
"Rupicapra pyrenaica",1,0,0
"Rupicapra rupicapra",0,0,1
"Saxicola rubetra",0,0,1
"Saxicola torquatus",0,0,1
"Sciurus anomalus",1,0,0
"Sciurus vulgaris",1,0,0
"Scolopax rusticola",1,0,0
"Serinus serinus",0,0,1
"Sicista betulina",1,0,0
"Sicista subtilis",0,1,0
"Sitta europaea",1,0,0
"Sitta neumayer",0,0,1
"Somateria mollissima",0,0,1
"Somateria spectabilis",0,0,1
"Sorex alpinus",0,0,1
"Sorex antinorii",1,0,0
"Sorex araneus",0,0,1
"Sorex caecutiens",1,0,0
"Sorex coronatus",0,0,1
"Sorex granarius",0,0,1
"Sorex isodon",1,0,0
"Sorex minutissimus",1,0,0
"Sorex minutus",0,0,1
"Sorex samniticus",1,0,0
"Spalax graecus",0,0,1
"Spalax zemni",0,0,1
"Spatula clypeata",0,1,0
"Spatula cyanoptera",0,0,1
"Spatula discors",0,0,1
"Spatula querquedula",0,0,1
"Spermophilus citellus",0,1,0
"Spermophilus suslicus",0,1,0
"Spilopelia senegalensis",0,1,0
"Spinus spinus",1,0,0
"Stenocranius gregalis",0,1,0
"Stercorarius longicaudus",0,0,1
"Stercorarius parasiticus",0,0,1
"Stercorarius pomarinus",0,0,1
"Sterna dougallii",0,0,1
"Sterna hirundo",0,0,1
"Sterna paradisaea",0,0,1
"Sternula albifrons",0,0,1
"Streptopelia decaocto",0,0,1
"Streptopelia roseogrisea",0,1,0
"Streptopelia turtur",0,0,1
"Strix aluco",0,0,1
"Strix nebulosa",0,0,1
"Strix uralensis",0,0,1
"Sturnus unicolor",0,1,0
"Sturnus vulgaris",0,0,1
"Suncus etruscus",0,0,1
"Surnia ulula",0,0,1
"Sus scrofa",0,0,1
"Suthora alphonsiana",1,0,0
"Suthora webbiana",1,0,0
"Sylvia atricapilla",0,0,1
"Sylvia borin",1,0,0
"Syrmaticus reevesii",0,0,1
"Tachybaptus ruficollis",0,0,1
"Tachymarptis melba",1,0,0
"Tadarida teniotis",0,0,1
"Tadorna ferruginea",0,1,0
"Tadorna tadorna",0,0,1
"Taeniopygia castanotis",0,0,1
"Talpa caeca",0,0,1
"Talpa europaea",0,0,1
"Talpa occidentalis",0,0,1
"Talpa romana",0,0,1
"Talpa stankovici",0,1,0
"Tarsiger cyanurus",1,0,0
"Tetrao urogallus",1,0,0
"Tetrastes bonasia",1,0,0
"Tetrax tetrax",0,1,0
"Thalasseus bengalensis",0,0,1
"Thalasseus elegans",0,0,1
"Thalasseus sandvicensis",0,0,1
"Threskiornis aethiopicus",0,0,1
"Tichodroma muraria",0,0,1
"Tringa erythropus",0,0,1
"Tringa glareola",1,0,0
"Tringa nebularia",0,1,0
"Tringa ochropus",0,0,1
"Tringa stagnatilis",0,0,1
"Tringa totanus",0,1,0
"Troglodytes troglodytes",1,0,0
"Turdus iliacus",0,0,1
"Turdus merula",0,0,1
"Turdus philomelos",0,0,1
"Turdus pilaris",0,0,1
"Turdus torquatus",1,0,0
"Turdus viscivorus",0,0,1
"Tyto alba",0,0,1
"Upupa epops",0,0,1
"Uria aalge",0,0,1
"Uria lomvia",0,0,1
"Ursus arctos",0,0,1
"Ursus maritimus",0,0,1
"Vanellus spinosus",0,1,0
"Vanellus vanellus",0,1,0
"Vespertilio murinus",0,0,1
"Vidua macroura",0,1,0
"Vormela peregusna",0,0,1
"Vulpes corsac",0,0,1
"Vulpes lagopus",0,0,1
"Vulpes vulpes",0,0,1
"Xenus cinereus",1,0,0
"Zapornia parva",0,0,1
"Zapornia pusilla",0,1,0
