"species","natural_sp","human_dominated_sp"
"Acanthis flammea",0,1
"Accipiter brevipes",0,1
"Accipiter gentilis",0,1
"Accipiter nisus",0,1
"Acridotheres cristatellus",0,1
"Acridotheres tristis",0,1
"Acrocephalus agricola",1,0
"Acrocephalus arundinaceus",1,0
"Acrocephalus dumetorum",0,1
"Acrocephalus melanopogon",1,0
"Acrocephalus paludicola",0,1
"Acrocephalus palustris",0,1
"Acrocephalus schoenobaenus",0,1
"Acrocephalus scirpaceus",1,0
"Actitis hypoleucos",0,1
"Actitis macularius",0,1
"Aegithalos caudatus",0,1
"Aegolius funereus",1,0
"Aegypius monachus",1,0
"Agapornis fischeri",0,1
"Agapornis personatus",1,0
"Aix galericulata",1,0
"Aix sponsa",1,0
"Alauda arvensis",0,1
"Alaudala rufescens",1,0
"Alca torda",1,0
"Alcedo atthis",0,1
"Alces alces",0,1
"Alectoris barbara",0,1
"Alectoris chukar",0,1
"Alectoris graeca",1,0
"Alectoris rufa",0,1
"Alexandrinus krameri",0,1
"Alexandromys oeconomus",0,1
"Alopochen aegyptiaca",1,0
"Amandava amandava",0,1
"Amazona aestiva",1,0
"Amazona oratrix",0,1
"Anas acuta",1,0
"Anas bahamensis",1,0
"Anas crecca",0,1
"Anas platyrhynchos",0,1
"Anas rubripes",1,0
"Anser albifrons",0,1
"Anser anser",0,1
"Anser brachyrhynchus",0,1
"Anser caerulescens",1,0
"Anser canagicus",1,0
"Anser cygnoid",0,1
"Anser erythropus",0,1
"Anser fabalis",0,1
"Anser indicus",0,1
"Anthus campestris",0,1
"Anthus cervinus",0,1
"Anthus petrosus",1,0
"Anthus pratensis",0,1
"Anthus spinoletta",0,1
"Anthus trivialis",0,1
"Apodemus agrarius",0,1
"Apodemus alpicola",1,0
"Apodemus epimelas",1,0
"Apodemus flavicollis",0,1
"Apodemus mystacinus",1,0
"Apodemus sylvaticus",0,1
"Apodemus uralensis",0,1
"Apus affinis",0,1
"Apus apus",0,1
"Apus caffer",0,1
"Apus pallidus",0,1
"Aquila adalberti",0,1
"Aquila chrysaetos",1,0
"Aquila fasciata",0,1
"Aquila heliaca",0,1
"Aratinga nenday",1,0
"Ardea alba",0,1
"Ardea cinerea",0,1
"Ardea purpurea",0,1
"Ardeola ralloides",1,0
"Arenaria interpres",1,0
"Arvicola amphibius",0,1
"Arvicola sapidus",1,0
"Asio flammeus",0,1
"Asio otus",0,1
"Atelerix algirus",0,1
"Athene noctua",0,1
"Aythya affinis",0,1
"Aythya collaris",1,0
"Aythya ferina",0,1
"Aythya fuligula",0,1
"Aythya marila",1,0
"Aythya nyroca",0,1
"Barbastella barbastellus",1,0
"Bison bonasus",0,1
"Bombycilla garrulus",0,1
"Botaurus stellaris",0,1
"Branta canadensis",0,1
"Branta hutchinsii",0,1
"Branta leucopsis",0,1
"Bubo bubo",0,1
"Bubo scandiacus",0,1
"Bubulcus ibis",0,1
"Bucanetes githagineus",1,0
"Bucephala clangula",0,1
"Burhinus oedicnemus",0,1
"Buteo buteo",0,1
"Buteo lagopus",0,1
"Buteo rufinus",0,1
"Cairina moschata",1,0
"Calandrella brachydactyla",0,1
"Calcarius lapponicus",0,1
"Calidris alpina",0,1
"Calidris falcinellus",0,1
"Calidris maritima",1,0
"Calidris melanotos",0,1
"Calidris minuta",0,1
"Calidris pugnax",0,1
"Calidris temminckii",0,1
"Callonetta leucophrys",0,1
"Calonectris borealis",1,0
"Calonectris diomedea",1,0
"Canis aureus",0,1
"Canis lupus",0,1
"Capra ibex",1,0
"Capra pyrenaica",1,0
"Capreolus capreolus",0,1
"Caprimulgus europaeus",0,1
"Caprimulgus ruficollis",0,1
"Carduelis carduelis",0,1
"Carduelis citrinella",1,0
"Carpodacus erythrinus",0,1
"Castor fiber",0,1
"Catharacta skua",1,0
"Cecropis daurica",0,1
"Cepphus grylle",1,0
"Cercotrichas galactotes",0,1
"Certhia brachydactyla",0,1
"Certhia familiaris",1,0
"Cervus elaphus",0,1
"Cettia cetti",0,1
"Charadrius alexandrinus",0,1
"Charadrius dubius",0,1
"Charadrius hiaticula",0,1
"Chersophilus duponti",1,0
"Chionomys syriacus",1,0
"Chlidonias hybrida",0,1
"Chlidonias leucopterus",0,1
"Chlidonias niger",0,1
"Chloephaga picta",0,1
"Chloris chloris",0,1
"Chrysolophus amherstiae",1,0
"Chrysolophus pictus",1,0
"Ciconia ciconia",0,1
"Ciconia nigra",1,0
"Cinclus cinclus",1,0
"Circaetus gallicus",1,0
"Circus aeruginosus",0,1
"Circus cyaneus",0,1
"Circus macrourus",0,1
"Circus pygargus",0,1
"Cisticola juncidis",0,1
"Clamator glandarius",0,1
"Clanga clanga",0,1
"Clanga pomarina",1,0
"Clangula hyemalis",1,0
"Clethrionomys glareolus",1,0
"Clethrionomys rutilus",1,0
"Coccothraustes coccothraustes",0,1
"Colinus virginianus",0,1
"Columba livia",0,1
"Columba oenas",0,1
"Columba palumbus",0,1
"Coracias garrulus",0,1
"Corvus corax",1,0
"Corvus corone",0,1
"Corvus frugilegus",0,1
"Corvus monedula",0,1
"Corvus splendens",0,1
"Coturnix coturnix",0,1
"Craseomys rufocanus",1,0
"Crex crex",0,1
"Cricetus cricetus",0,1
"Crocidura leucodon",0,1
"Crocidura russula",0,1
"Crocidura suaveolens",0,1
"Cuculus canorus",0,1
"Cuculus saturatus",0,1
"Curruca cantillans",1,0
"Curruca communis",0,1
"Curruca conspicillata",1,0
"Curruca crassirostris",0,1
"Curruca curruca",0,1
"Curruca hortensis",0,1
"Curruca melanocephala",0,1
"Curruca nisoria",0,1
"Curruca ruppeli",1,0
"Curruca subalpina",1,0
"Curruca undata",0,1
"Cursorius cursor",1,0
"Cyanistes caeruleus",0,1
"Cyanopica cooki",0,1
"Cyanopica cyanus",0,1
"Cygnus atratus",1,0
"Cygnus cygnus",0,1
"Cygnus olor",0,1
"Dama dama",0,1
"Delichon urbicum",0,1
"Dendrocopos leucotos",1,0
"Dendrocopos major",0,1
"Dendrocopos syriacus",0,1
"Dinaromys bogdanovi",1,0
"Dryobates minor",0,1
"Dryocopus martius",1,0
"Dryomys nitedula",0,1
"Egretta garzetta",0,1
"Egretta gularis",1,0
"Elanus caeruleus",0,1
"Eliomys quercinus",0,1
"Emberiza aureola",0,1
"Emberiza caesia",0,1
"Emberiza calandra",0,1
"Emberiza cia",0,1
"Emberiza cirlus",0,1
"Emberiza citrinella",0,1
"Emberiza hortulana",0,1
"Emberiza melanocephala",0,1
"Emberiza pusilla",1,0
"Emberiza rustica",1,0
"Emberiza schoeniclus",0,1
"Eptesicus nilssonii",0,1
"Eptesicus serotinus",0,1
"Eremophila alpestris",0,1
"Erinaceus concolor",0,1
"Erinaceus europaeus",0,1
"Erinaceus roumanicus",0,1
"Erithacus rubecula",0,1
"Estrilda astrild",0,1
"Estrilda melpoda",0,1
"Estrilda troglodytes",0,1
"Eudromias morinellus",0,1
"Euodice malabarica",0,1
"Euplectes afer",0,1
"Eutamias sibiricus",1,0
"Falco biarmicus",0,1
"Falco cherrug",1,0
"Falco columbarius",0,1
"Falco eleonorae",1,0
"Falco naumanni",0,1
"Falco peregrinus",0,1
"Falco rusticolus",0,1
"Falco subbuteo",0,1
"Falco tinnunculus",0,1
"Falco vespertinus",0,1
"Felis silvestris",0,1
"Ficedula albicollis",0,1
"Ficedula hypoleuca",0,1
"Ficedula parva",0,1
"Ficedula semitorquata",0,1
"Fratercula arctica",1,0
"Fringilla coelebs",0,1
"Fringilla montifringilla",0,1
"Fulica atra",0,1
"Fulica cristata",0,1
"Fulmarus glacialis",1,0
"Galemys pyrenaicus",1,0
"Galerida cristata",0,1
"Galerida theklae",0,1
"Gallinago gallinago",0,1
"Gallinago media",0,1
"Gallinula chloropus",0,1
"Gallus gallus",0,1
"Garrulus glandarius",0,1
"Gavia arctica",1,0
"Gavia immer",1,0
"Gavia stellata",1,0
"Gelochelidon nilotica",0,1
"Genetta genetta",1,0
"Geronticus eremita",0,1
"Glareola nordmanni",0,1
"Glareola pratincola",0,1
"Glaucidium passerinum",1,0
"Glis glis",0,1
"Grus grus",0,1
"Gulo gulo",1,0
"Gulosus aristotelis",1,0
"Gypaetus barbatus",0,1
"Gyps fulvus",1,0
"Haematopus ostralegus",0,1
"Haliaeetus albicilla",0,1
"Hemiechinus auritus",0,1
"Herpestes ichneumon",0,1
"Hieraaetus pennatus",0,1
"Himantopus himantopus",0,1
"Hippolais icterina",0,1
"Hippolais olivetorum",0,1
"Hippolais polyglotta",0,1
"Hirundo rustica",0,1
"Hydrobates castro",1,0
"Hydrobates leucorhous",1,0
"Hydrobates pelagicus",1,0
"Hydrocoloeus minutus",0,1
"Hydroprogne caspia",0,1
"Hypsugo savii",0,1
"Hystrix cristata",0,1
"Iduna caligata",0,1
"Iduna opaca",0,1
"Iduna pallida",0,1
"Ixobrychus minutus",0,1
"Jynx torquilla",0,1
"Lagopus lagopus",1,0
"Lagopus muta",1,0
"Lagurus lagurus",0,1
"Lanius collurio",0,1
"Lanius excubitor",1,0
"Lanius meridionalis",0,1
"Lanius minor",0,1
"Lanius nubicus",0,1
"Lanius senator",0,1
"Larus argentatus",0,1
"Larus audouinii",1,0
"Larus cachinnans",0,1
"Larus canus",0,1
"Larus delawarensis",0,1
"Larus fuscus",0,1
"Larus genei",0,1
"Larus marinus",0,1
"Larus melanocephalus",0,1
"Larus michahellis",0,1
"Larus ridibundus",0,1
"Leiopicus medius",1,0
"Leiothrix lutea",0,1
"Lemmus lemmus",1,0
"Lepus capensis",0,1
"Lepus castroviejoi",0,1
"Lepus corsicanus",0,1
"Lepus europaeus",0,1
"Lepus granatensis",0,1
"Lepus timidus",1,0
"Limosa lapponica",1,0
"Limosa limosa",0,1
"Linaria cannabina",0,1
"Linaria flavirostris",1,0
"Locustella fluviatilis",1,0
"Locustella lanceolata",1,0
"Locustella luscinioides",0,1
"Locustella naevia",0,1
"Lonchura punctulata",0,1
"Lophophanes cristatus",0,1
"Loxia curvirostra",0,1
"Loxia leucoptera",1,0
"Loxia pytyopsittacus",1,0
"Loxia scotica",0,1
"Lullula arborea",0,1
"Luscinia luscinia",0,1
"Luscinia megarhynchos",0,1
"Luscinia svecica",0,1
"Lutra lutra",1,0
"Lymnocryptes minimus",0,1
"Lynx lynx",1,0
"Lynx pardinus",1,0
"Lyrurus tetrix",0,1
"Mareca penelope",1,0
"Mareca strepera",1,0
"Marmaronetta angustirostris",0,1
"Marmota marmota",0,1
"Martes foina",0,1
"Martes martes",1,0
"Martes zibellina",1,0
"Melanitta fusca",1,0
"Melanitta nigra",1,0
"Melanocorypha calandra",0,1
"Meleagris gallopavo",0,1
"Meles meles",0,1
"Mergellus albellus",0,1
"Mergus merganser",1,0
"Mergus serrator",1,0
"Merops apiaster",0,1
"Mesocricetus newtoni",0,1
"Microcarbo pygmaeus",0,1
"Micromys minutus",0,1
"Microtus agrestis",0,1
"Microtus arvalis",0,1
"Microtus brachycercus",0,1
"Microtus cabrerae",0,1
"Microtus duodecimcostatus",0,1
"Microtus gerbii",0,1
"Microtus guentheri",0,1
"Microtus liechtensteini",0,1
"Microtus lusitanicus",0,1
"Microtus multiplex",0,1
"Microtus mystacinus",0,1
"Microtus savii",0,1
"Microtus subterraneus",0,1
"Microtus tatricus",1,0
"Microtus thomasi",0,1
"Milvus migrans",0,1
"Milvus milvus",0,1
"Miniopterus schreibersii",0,1
"Monticola saxatilis",1,0
"Monticola solitarius",0,1
"Montifringilla nivalis",1,0
"Morus bassanus",1,0
"Motacilla alba",0,1
"Motacilla cinerea",0,1
"Motacilla citreola",0,1
"Motacilla flava",0,1
"Mus macedonicus",0,1
"Mus musculus",0,1
"Mus spicilegus",0,1
"Mus spretus",0,1
"Muscardinus avellanarius",1,0
"Muscicapa striata",0,1
"Mustela erminea",0,1
"Mustela eversmanii",0,1
"Mustela lutreola",0,1
"Mustela nivalis",0,1
"Mustela putorius",0,1
"Myiopsitta monachus",0,1
"Myomimus roachi",0,1
"Myopus schisticolor",1,0
"Myotis alcathoe",1,0
"Myotis bechsteinii",1,0
"Myotis blythii",0,1
"Myotis brandtii",0,1
"Myotis capaccinii",1,0
"Myotis dasycneme",0,1
"Myotis daubentonii",0,1
"Myotis davidii",0,1
"Myotis emarginatus",0,1
"Myotis myotis",0,1
"Myotis mystacinus",0,1
"Myotis nattereri",0,1
"Nannospalax leucodon",0,1
"Neomys anomalus",0,1
"Neomys fodiens",0,1
"Neophron percnopterus",0,1
"Netta rufina",1,0
"Nothocricetulus migratorius",0,1
"Nucifraga caryocatactes",0,1
"Numenius arquata",0,1
"Numenius phaeopus",0,1
"Numida meleagris",0,1
"Nyctalus lasiopterus",0,1
"Nyctalus leisleri",0,1
"Nyctalus noctula",0,1
"Nycticorax nycticorax",1,0
"Oenanthe hispanica",0,1
"Oenanthe isabellina",0,1
"Oenanthe leucura",1,0
"Oenanthe oenanthe",0,1
"Oenanthe pleschanka",0,1
"Oriolus oriolus",0,1
"Oryctolagus cuniculus",0,1
"Otis tarda",0,1
"Otus scops",0,1
"Oxyura jamaicensis",1,0
"Oxyura leucocephala",0,1
"Palaeornis eupatria",0,1
"Pandion haliaetus",0,1
"Panurus biarmicus",1,0
"Parabuteo unicinctus",1,0
"Parus major",0,1
"Passer domesticus",0,1
"Passer hispaniolensis",0,1
"Passer italiae",0,1
"Passer montanus",0,1
"Pastor roseus",1,0
"Pavo cristatus",0,1
"Pelecanus crispus",1,0
"Pelecanus onocrotalus",1,0
"Perdix perdix",0,1
"Periparus ater",0,1
"Perisoreus infaustus",1,0
"Pernis apivorus",0,1
"Petronia petronia",0,1
"Phalacrocorax carbo",1,0
"Phalaropus fulicarius",1,0
"Phalaropus lobatus",1,0
"Phasianus colchicus",0,1
"Phoeniconaias minor",0,1
"Phoenicopterus chilensis",1,0
"Phoenicopterus roseus",0,1
"Phoenicopterus ruber",1,0
"Phoenicurus ochruros",0,1
"Phoenicurus phoenicurus",0,1
"Phylloscopus bonelli",1,0
"Phylloscopus borealis",0,1
"Phylloscopus collybita",0,1
"Phylloscopus ibericus",1,0
"Phylloscopus orientalis",1,0
"Phylloscopus sibilatrix",1,0
"Phylloscopus trochiloides",0,1
"Phylloscopus trochilus",0,1
"Pica pica",0,1
"Picoides tridactylus",1,0
"Picus canus",0,1
"Picus sharpei",0,1
"Picus viridis",0,1
"Pinicola enucleator",0,1
"Pionus maximiliani",1,0
"Pipistrellus kuhlii",0,1
"Pipistrellus nathusii",0,1
"Pipistrellus pipistrellus",0,1
"Pipistrellus pygmaeus",0,1
"Platalea leucorodia",0,1
"Plecotus auritus",0,1
"Plecotus austriacus",0,1
"Plecotus kolombatovici",0,1
"Plecotus macrobullaris",0,1
"Plectrophenax nivalis",0,1
"Plegadis falcinellus",0,1
"Ploceus melanocephalus",1,0
"Pluvialis apricaria",0,1
"Podiceps auritus",1,0
"Podiceps cristatus",0,1
"Podiceps grisegena",1,0
"Podiceps nigricollis",0,1
"Poecile cinctus",1,0
"Poecile lugubris",0,1
"Poecile montanus",0,1
"Poecile palustris",0,1
"Poicephalus senegalus",0,1
"Porphyrio porphyrio",0,1
"Porzana porzana",0,1
"Prunella collaris",0,1
"Prunella modularis",0,1
"Psittacara acuticaudatus",1,0
"Psittacara erythrogenys",0,1
"Psittacara mitratus",0,1
"Pterocles alchata",0,1
"Pterocles orientalis",0,1
"Pteromys volans",1,0
"Ptyonoprogne rupestris",0,1
"Puffinus mauretanicus",1,0
"Puffinus puffinus",1,0
"Puffinus yelkouan",1,0
"Pycnonotus barbatus",0,1
"Pycnonotus jocosus",0,1
"Pyrrhocorax graculus",0,1
"Pyrrhocorax pyrrhocorax",0,1
"Pyrrhula pyrrhula",0,1
"Rallus aquaticus",0,1
"Rangifer tarandus",1,0
"Rattus rattus",0,1
"Recurvirostra avosetta",1,0
"Regulus ignicapilla",1,0
"Regulus regulus",0,1
"Remiz pendulinus",1,0
"Rhea americana",0,1
"Rhinolophus blasii",1,0
"Rhinolophus euryale",1,0
"Rhinolophus ferrumequinum",0,1
"Rhinolophus hipposideros",0,1
"Rhinolophus mehelyi",1,0
"Riparia riparia",1,0
"Rissa tridactyla",1,0
"Rupicapra pyrenaica",1,0
"Rupicapra rupicapra",0,1
"Saxicola rubetra",0,1
"Saxicola torquatus",0,1
"Sciurus anomalus",1,0
"Sciurus vulgaris",0,1
"Scolopax rusticola",0,1
"Serinus serinus",0,1
"Sicista betulina",1,0
"Sicista subtilis",0,1
"Sitta europaea",0,1
"Sitta neumayer",1,0
"Somateria mollissima",1,0
"Somateria spectabilis",1,0
"Sorex alpinus",0,1
"Sorex antinorii",1,0
"Sorex araneus",0,1
"Sorex caecutiens",1,0
"Sorex coronatus",0,1
"Sorex granarius",0,1
"Sorex isodon",1,0
"Sorex minutissimus",1,0
"Sorex minutus",0,1
"Sorex samniticus",1,0
"Spalax graecus",0,1
"Spalax zemni",0,1
"Spatula clypeata",0,1
"Spatula cyanoptera",1,0
"Spatula discors",1,0
"Spatula querquedula",1,0
"Spermophilus citellus",0,1
"Spermophilus suslicus",0,1
"Spilopelia senegalensis",0,1
"Spinus spinus",0,1
"Stenocranius gregalis",0,1
"Stercorarius longicaudus",1,0
"Stercorarius parasiticus",1,0
"Stercorarius pomarinus",1,0
"Sterna dougallii",1,0
"Sterna hirundo",1,0
"Sterna paradisaea",1,0
"Sternula albifrons",0,1
"Streptopelia decaocto",0,1
"Streptopelia roseogrisea",0,1
"Streptopelia turtur",0,1
"Strix aluco",0,1
"Strix nebulosa",0,1
"Strix uralensis",0,1
"Sturnus unicolor",0,1
"Sturnus vulgaris",0,1
"Suncus etruscus",0,1
"Surnia ulula",0,1
"Sus scrofa",0,1
"Suthora alphonsiana",0,1
"Suthora webbiana",0,1
"Sylvia atricapilla",0,1
"Sylvia borin",0,1
"Syrmaticus reevesii",0,1
"Tachybaptus ruficollis",0,1
"Tachymarptis melba",0,1
"Tadarida teniotis",0,1
"Tadorna ferruginea",0,1
"Tadorna tadorna",1,0
"Taeniopygia castanotis",0,1
"Talpa caeca",0,1
"Talpa europaea",0,1
"Talpa occidentalis",0,1
"Talpa romana",0,1
"Talpa stankovici",0,1
"Tarsiger cyanurus",1,0
"Tetrao urogallus",1,0
"Tetrastes bonasia",1,0
"Tetrax tetrax",0,1
"Thalasseus bengalensis",1,0
"Thalasseus elegans",1,0
"Thalasseus sandvicensis",1,0
"Threskiornis aethiopicus",0,1
"Tichodroma muraria",1,0
"Tringa erythropus",0,1
"Tringa glareola",1,0
"Tringa nebularia",0,1
"Tringa ochropus",0,1
"Tringa stagnatilis",0,1
"Tringa totanus",0,1
"Troglodytes troglodytes",0,1
"Turdus iliacus",0,1
"Turdus merula",0,1
"Turdus philomelos",0,1
"Turdus pilaris",0,1
"Turdus torquatus",1,0
"Turdus viscivorus",0,1
"Tyto alba",0,1
"Upupa epops",0,1
"Uria aalge",1,0
"Uria lomvia",1,0
"Ursus arctos",0,1
"Ursus maritimus",1,0
"Vanellus spinosus",0,1
"Vanellus vanellus",0,1
"Vespertilio murinus",0,1
"Vidua macroura",0,1
"Vormela peregusna",1,0
"Vulpes corsac",1,0
"Vulpes lagopus",1,0
"Vulpes vulpes",0,1
"Xenus cinereus",1,0
"Zapornia parva",0,1
"Zapornia pusilla",0,1
