Natural,Human_dominated,Area_Total,natural_sp,human_dominated_sp,Sp_Total
1846330000,643810000,2490140000,7,106,113
1836300000,361740000,2198040000,11,98,109
1326200000,1173800000,2500000000,8,115,123
1764060000,735940000,2500000000,7,100,107
2007800000,492200000,2500000000,11,115,126
665710000,1834290000,2500000000,7,104,111
2073890000,426110000,2500000000,9,104,113
673510000,1826490000,2500000000,9,111,120
588340000,1911660000,2500000000,9,109,118
1321750000,1178250000,2500000000,11,105,116
1055120000,1444880000,2500000000,11,111,122
1990770000,509230000,2500000000,9,94,103
1492240000,1007760000,2500000000,9,112,121
1686460000,813540000,2500000000,9,104,113
2251430000,248570000,2500000000,8,96,104
2050080000,449920000,2500000000,11,118,129
1920130000,579870000,2500000000,17,109,126
1712810000,787190000,2500000000,13,117,130
659240000,1840760000,2500000000,10,107,117
1169760000,1330240000,2500000000,11,120,131
480830000,2019170000,2500000000,6,107,113
687010000,1812990000,2500000000,14,129,143
1687980000,812020000,2500000000,10,110,120
1552900000,947100000,2500000000,17,130,147
1645260000,854740000,2500000000,22,133,155
1634500000,104830000,1739330000,13,115,128
1718880000,781120000,2500000000,19,114,133
1674690000,825310000,2500000000,4,82,86
889460000,1610540000,2500000000,11,106,117
1582200000,917800000,2500000000,16,121,137
521720000,1978280000,2500000000,14,124,138
1168470000,1331530000,2500000000,14,126,140
2140990000,128920000,2269910000,6,67,73
1903500000,481220000,2384720000,5,89,94
1535960000,964040000,2500000000,9,78,87
2000870000,499130000,2500000000,9,87,96
1864400000,635600000,2500000000,12,97,109
1812670000,687330000,2500000000,9,101,110
1916030000,583970000,2500000000,10,107,117
2123670000,376330000,2500000000,11,118,129
1731290000,768710000,2500000000,7,95,102
1862220000,637780000,2500000000,9,98,107
1743070000,756930000,2500000000,6,86,92
1857680000,642320000,2500000000,9,98,107
1949690000,550310000,2500000000,16,129,145
1590750000,909250000,2500000000,9,93,102
1731550000,768450000,2500000000,7,100,107
1537500000,962500000,2500000000,14,117,131
1660140000,839860000,2500000000,19,129,148
2054380000,445620000,2500000000,11,115,126
1703840000,796160000,2500000000,12,122,134
1559980000,940020000,2500000000,13,121,134
1735610000,764390000,2500000000,9,98,107
2200310000,299690000,2500000000,13,113,126
2185580000,314420000,2500000000,6,86,92
1853810000,646190000,2500000000,21,125,146
1390050000,1109950000,2500000000,17,116,133
1132470000,1367530000,2500000000,21,137,158
1877780000,622220000,2500000000,14,117,131
2110910000,389090000,2500000000,16,90,106
2024540000,475460000,2500000000,11,110,121
1754620000,85420000,1840040000,22,85,107
2074380000,262770000,2337150000,21,83,104
2035640000,464360000,2500000000,23,92,115
2348590000,151410000,2500000000,14,71,85
1514510000,985490000,2500000000,13,63,76
1965200000,534800000,2500000000,19,87,106
2435620000,57590000,2493210000,22,75,97
1955030000,544970000,2500000000,16,86,102
2302580000,133230000,2435810000,28,88,116
2004110000,495890000,2500000000,18,86,104
1614020000,885980000,2500000000,13,89,102
1469400000,1030600000,2500000000,15,92,107
2232160000,105910000,2338070000,26,92,118
442170000,2057830000,2500000000,17,80,97
1149350000,1350650000,2500000000,11,70,81
1383210000,1096390000,2479600000,15,80,95
357920000,2142080000,2500000000,10,80,90
610510000,1889490000,2500000000,7,79,86
489270000,2010730000,2500000000,6,84,90
616760000,1883240000,2500000000,12,88,100
529580000,1970420000,2500000000,8,80,88
366870000,2133130000,2500000000,19,85,104
1878200000,571530000,2449730000,19,93,112
1864400000,635600000,2500000000,20,90,110
1040730000,1459270000,2500000000,19,122,141
1190680000,1309320000,2500000000,20,92,112
936800000,1563200000,2500000000,17,87,104
530870000,1969130000,2500000000,6,90,96
571770000,1928230000,2500000000,21,88,109
2440490000,59510000,2500000000,28,86,114
964640000,1535360000,2500000000,20,134,154
751160000,1748840000,2500000000,13,102,115
1543620000,956380000,2500000000,18,117,135
840490000,1659510000,2500000000,17,127,144
1256080000,1243920000,2500000000,19,133,152
1365120000,1134880000,2500000000,13,114,127
1952430000,121860000,2074290000,12,87,99
1544910000,955090000,2500000000,15,125,140
95550000,2404450000,2500000000,16,108,124
541700000,1958300000,2500000000,17,117,134
1306910000,1193090000,2500000000,13,91,104
1776590000,723410000,2500000000,16,107,123
1582660000,917340000,2500000000,15,121,136
580230000,1919770000,2500000000,16,121,137
1936370000,563630000,2500000000,14,117,131
1900120000,599880000,2500000000,16,109,125
561120000,1938880000,2500000000,10,95,105
453900000,2046100000,2500000000,13,111,124
1018480000,1481520000,2500000000,16,112,128
1595750000,904250000,2500000000,15,107,122
749900000,1750100000,2500000000,14,110,124
520720000,1979280000,2500000000,12,111,123
2031680000,468320000,2500000000,23,113,136
1422430000,1077570000,2500000000,16,108,124
1830940000,669060000,2500000000,12,94,106
1158210000,1341790000,2500000000,13,90,103
1216110000,1283890000,2500000000,13,103,116
2211050000,288950000,2500000000,19,101,120
1203690000,1296310000,2500000000,23,108,131
1296010000,1203990000,2500000000,14,92,106
851850000,1648150000,2500000000,23,127,150
1219300000,1280700000,2500000000,12,101,113
1588220000,911780000,2500000000,15,104,119
1845610000,654390000,2500000000,14,98,112
2160380000,339620000,2500000000,14,96,110
2066980000,433020000,2500000000,16,113,129
1630310000,869690000,2500000000,14,106,120
1302420000,1197580000,2500000000,22,125,147
1202800000,1297200000,2500000000,20,116,136
1606280000,893720000,2500000000,19,127,146
1845380000,654620000,2500000000,20,129,149
623360000,1876640000,2500000000,17,140,157
1326620000,1173380000,2500000000,15,134,149
2006540000,493460000,2500000000,17,131,148
2113840000,386160000,2500000000,20,129,149
321210000,2178790000,2500000000,10,125,135
561010000,1938990000,2500000000,16,123,139
1107080000,1392920000,2500000000,10,112,122
1042950000,1457050000,2500000000,17,129,146
110460000,2389540000,2500000000,12,111,123
219710000,2280290000,2500000000,12,120,132
271140000,2228860000,2500000000,16,124,140
638110000,1861890000,2500000000,13,124,137
2356410000,143590000,2500000000,18,111,129
1488070000,1011930000,2500000000,16,129,145
2286380000,213620000,2500000000,19,116,135
1105360000,1394640000,2500000000,23,126,149
1934490000,305310000,2239800000,7,93,100
1566760000,113370000,1680130000,9,102,111
1009410000,1490590000,2500000000,22,128,150
1253060000,1246940000,2500000000,14,114,128
2094930000,405070000,2500000000,20,133,153
1747490000,752510000,2500000000,16,115,131
1415710000,1084290000,2500000000,21,124,145
551220000,1948780000,2500000000,15,121,136
543120000,1956880000,2500000000,17,117,134
1945660000,554340000,2500000000,18,128,146
1446130000,1053870000,2500000000,20,128,148
1907420000,592580000,2500000000,17,115,132
1704060000,795940000,2500000000,17,124,141
1884600000,615400000,2500000000,14,118,132
1646720000,853280000,2500000000,19,129,148
1874630000,123370000,1998000000,11,102,113
1827280000,667650000,2494930000,18,119,137
1209180000,1290820000,2500000000,15,114,129
2027250000,472750000,2500000000,16,114,130
1378240000,1121760000,2500000000,15,108,123
1613400000,886600000,2500000000,16,113,129
2041180000,458820000,2500000000,12,101,113
1988400000,511600000,2500000000,19,131,150
1906060000,593940000,2500000000,16,127,143
1220540000,1279460000,2500000000,22,144,166
1427010000,1072990000,2500000000,17,118,135
1907840000,592160000,2500000000,13,118,131
1088870000,1411130000,2500000000,21,136,157
1899120000,600880000,2500000000,16,126,142
1333010000,1166990000,2500000000,21,143,164
1461890000,1038110000,2500000000,15,125,140
1003030000,1496970000,2500000000,19,131,150
1979250000,136800000,2116050000,12,110,122
420560000,2079440000,2500000000,16,125,141
856990000,1643010000,2500000000,14,128,142
1624180000,875820000,2500000000,12,97,109
976540000,1523460000,2500000000,18,113,131
849330000,1650670000,2500000000,21,134,155
1051970000,1448030000,2500000000,20,125,145
1277270000,1222730000,2500000000,19,131,150
1969350000,530650000,2500000000,24,131,155
1526590000,973410000,2500000000,24,136,160
1713270000,786730000,2500000000,21,125,146
2203440000,296560000,2500000000,20,123,143
2123450000,67450000,2190900000,5,98,103
1675820000,790920000,2466740000,13,118,131
2022910000,477090000,2500000000,5,98,103
749690000,1750310000,2500000000,13,115,128
1704880000,39820000,1744700000,7,101,108
1822810000,64650000,1887460000,9,97,106
1525190000,974810000,2500000000,11,127,138
1955030000,220650000,2175680000,12,125,137
1555340000,32110000,1587450000,6,99,105
439680000,2060320000,2500000000,13,131,144
1096200000,1403800000,2500000000,10,117,127
201110000,2298890000,2500000000,13,127,140
1525610000,974390000,2500000000,18,139,157
232950000,2267050000,2500000000,8,122,130
209470000,2290530000,2500000000,11,124,135
221930000,2278070000,2500000000,14,123,137
192980000,2307020000,2500000000,16,132,148
232980000,2267020000,2500000000,13,127,140
193870000,2306130000,2500000000,11,118,129
2034940000,465060000,2500000000,16,109,125
837150000,1662850000,2500000000,19,105,124
1334830000,1165170000,2500000000,27,151,178
758210000,1741790000,2500000000,21,121,142
1488270000,1011730000,2500000000,21,126,147
2290000000,210000000,2500000000,26,126,152
600300000,1899700000,2500000000,9,100,109
1626640000,873360000,2500000000,7,99,106
304030000,2195970000,2500000000,10,123,133
793480000,1706520000,2500000000,8,111,119
329390000,2170610000,2500000000,8,115,123
705090000,1794910000,2500000000,13,130,143
634560000,1865440000,2500000000,13,133,146
1894920000,605080000,2500000000,15,91,106
1357180000,1142820000,2500000000,18,106,124
1485910000,754620000,2240530000,16,95,111
1522680000,262760000,1785440000,14,86,100
1882810000,461840000,2344650000,21,107,128
1734610000,765390000,2500000000,16,81,97
1424820000,1074850000,2499670000,17,78,95
2385610000,114390000,2500000000,19,82,101
1971080000,528920000,2500000000,16,99,115
2090170000,409830000,2500000000,29,108,137
1699740000,800260000,2500000000,19,105,124
2146000000,351650000,2497650000,14,112,126
1596270000,902710000,2498980000,20,112,132
1740790000,759210000,2500000000,8,85,93
590780000,1909220000,2500000000,17,98,115
1409590000,1090410000,2500000000,11,106,117
695760000,1804240000,2500000000,11,113,124
903120000,1596880000,2500000000,16,114,130
1431030000,1068970000,2500000000,15,110,125
1248240000,1251760000,2500000000,12,104,116
1536980000,963020000,2500000000,10,112,122
1702510000,797490000,2500000000,23,117,140
2210870000,288100000,2498970000,17,108,125
1345040000,1154960000,2500000000,12,104,116
1443570000,1056430000,2500000000,12,107,119
1770840000,486660000,2257500000,11,103,114
1651650000,848350000,2500000000,26,116,142
1187930000,1312070000,2500000000,15,109,124
1886440000,613560000,2500000000,30,129,159
668680000,1831320000,2500000000,10,98,108
1798700000,701300000,2500000000,9,90,99
1246710000,1253290000,2500000000,25,110,135
1592660000,907340000,2500000000,17,107,124
822700000,1677300000,2500000000,15,112,127
453300000,2046700000,2500000000,10,103,113
496490000,2003510000,2500000000,11,108,119
586760000,1913240000,2500000000,6,94,100
1709520000,296770000,2006290000,21,86,107
727960000,1772040000,2500000000,23,116,139
326260000,2173740000,2500000000,13,105,118
826710000,1673290000,2500000000,14,99,113
1269870000,1230130000,2500000000,19,119,138
202870000,2297130000,2500000000,10,102,112
608120000,1891880000,2500000000,13,111,124
118450000,2381550000,2500000000,10,100,110
165070000,2334930000,2500000000,11,102,113
131550000,2368450000,2500000000,12,104,116
356880000,2143120000,2500000000,11,110,121
225620000,2274380000,2500000000,14,117,131
184100000,2315900000,2500000000,11,109,120
1514600000,985400000,2500000000,14,116,130
747130000,1752870000,2500000000,11,108,119
827490000,1672510000,2500000000,14,108,122
984270000,1515730000,2500000000,10,111,121
1382000000,1118000000,2500000000,13,110,123
914580000,1585420000,2500000000,19,111,130
814470000,1685530000,2500000000,21,107,128
1630090000,869910000,2500000000,12,109,121
1418310000,815560000,2233870000,24,110,134
948090000,1551910000,2500000000,18,111,129
350250000,2149750000,2500000000,8,98,106
851470000,1648530000,2500000000,18,117,135
413500000,2086500000,2500000000,9,103,112
2026850000,473150000,2500000000,23,119,142
1416580000,1083420000,2500000000,17,121,138
1520320000,786810000,2307130000,13,102,115
64780000,2435220000,2500000000,11,99,110
257440000,2242560000,2500000000,10,98,108
329280000,2170720000,2500000000,13,109,122
164850000,2335150000,2500000000,11,112,123
76730000,2423270000,2500000000,13,99,112
60190000,2439810000,2500000000,7,98,105
122200000,2377800000,2500000000,13,105,118
85040000,2414960000,2500000000,12,104,116
197150000,2302850000,2500000000,16,116,132
174040000,2325960000,2500000000,8,89,97
1146580000,1353420000,2500000000,16,113,129
309290000,2190710000,2500000000,17,134,151
205380000,2294620000,2500000000,11,118,129
208420000,2291580000,2500000000,11,117,128
175210000,2324790000,2500000000,11,121,132
1759240000,708800000,2468040000,16,128,144
316340000,2183660000,2500000000,12,123,135
1489020000,792020000,2281040000,18,127,145
234440000,2265560000,2500000000,9,119,128
405570000,2094430000,2500000000,10,122,132
382580000,2117420000,2500000000,8,117,125
2389750000,110250000,2500000000,25,92,117
2373040000,126960000,2500000000,27,99,126
2448220000,51780000,2500000000,22,97,119
2366990000,133010000,2500000000,26,70,96
2455160000,44840000,2500000000,19,94,113
2447930000,52070000,2500000000,19,100,119
2428280000,27770000,2456050000,28,73,101
2471400000,28600000,2500000000,27,75,102
2376860000,123140000,2500000000,19,107,126
1591550000,908450000,2500000000,18,107,125
1326880000,1173120000,2500000000,19,104,123
1816610000,683390000,2500000000,27,114,141
2415430000,84570000,2500000000,21,111,132
1813810000,686190000,2500000000,22,104,126
2393110000,106890000,2500000000,15,99,114
2411650000,88350000,2500000000,35,88,123
2207420000,292580000,2500000000,24,89,113
1922710000,577290000,2500000000,27,87,114
2264260000,31180000,2295440000,27,82,109
2140030000,282590000,2422620000,29,77,106
1560290000,939710000,2500000000,15,117,132
1616690000,879570000,2496260000,21,120,141
1279830000,1220170000,2500000000,19,123,142
1444020000,1055980000,2500000000,19,118,137
1777690000,722310000,2500000000,23,124,147
435440000,2064560000,2500000000,21,131,152
1373700000,1126300000,2500000000,21,111,132
2323760000,176240000,2500000000,22,119,141
818770000,1681230000,2500000000,7,97,104
544520000,1955480000,2500000000,6,88,94
820390000,1679610000,2500000000,9,104,113
618270000,1881730000,2500000000,8,92,100
587490000,1912510000,2500000000,14,126,140
869000000,1631000000,2500000000,7,107,114
1319360000,1180640000,2500000000,18,119,137
1763660000,281540000,2045200000,26,130,156
1394760000,1105240000,2500000000,16,107,123
2121870000,378130000,2500000000,24,128,152
656810000,1843190000,2500000000,19,124,143
2237960000,262040000,2500000000,23,118,141
1141950000,1358050000,2500000000,22,118,140
2380130000,119870000,2500000000,20,121,141
986970000,1513030000,2500000000,20,120,140
2394150000,105850000,2500000000,21,114,135
401050000,2098950000,2500000000,9,110,119
367110000,2132890000,2500000000,8,97,105
597030000,1902970000,2500000000,13,119,132
276130000,2223870000,2500000000,9,107,116
1212940000,1287060000,2500000000,11,108,119
641330000,1858670000,2500000000,9,95,104
1354590000,1145410000,2500000000,13,120,133
1492770000,1007230000,2500000000,12,107,119
812110000,1687890000,2500000000,12,124,136
1196740000,1303260000,2500000000,9,104,113
913880000,1586120000,2500000000,12,117,129
814280000,1685720000,2500000000,15,110,125
652080000,1847920000,2500000000,12,126,138
394670000,2105330000,2500000000,10,118,128
743980000,1756020000,2500000000,18,141,159
545830000,1954170000,2500000000,16,118,134
626370000,1873630000,2500000000,13,129,142
575140000,1924860000,2500000000,12,121,133
764480000,1735520000,2500000000,15,130,145
678850000,1821150000,2500000000,13,130,143
1855040000,617820000,2472860000,17,124,141
2119490000,380510000,2500000000,23,129,152
1992750000,507250000,2500000000,22,135,157
1705050000,794950000,2500000000,12,121,133
1880090000,619910000,2500000000,23,134,157
1991880000,508120000,2500000000,17,123,140
1027130000,1472870000,2500000000,18,117,135
2244310000,255690000,2500000000,18,123,141
1369950000,1130050000,2500000000,20,131,151
1505350000,994650000,2500000000,28,149,177
759470000,1740530000,2500000000,15,114,129
717150000,1782850000,2500000000,17,113,130
973850000,1526150000,2500000000,13,117,130
1860360000,639640000,2500000000,14,120,134
1156890000,1343110000,2500000000,11,105,116
1022150000,1477850000,2500000000,12,112,124
1101320000,1398680000,2500000000,14,114,128
937750000,1562250000,2500000000,9,116,125
1546250000,953750000,2500000000,14,120,134
1596390000,903610000,2500000000,15,111,126
1011370000,1488630000,2500000000,14,114,128
1367680000,1132320000,2500000000,16,108,124
424950000,2075050000,2500000000,14,125,139
639570000,1860430000,2500000000,17,130,147
539820000,1960180000,2500000000,14,126,140
462240000,2037760000,2500000000,16,131,147
1670830000,829170000,2500000000,16,137,153
921040000,1578960000,2500000000,11,123,134
853740000,1646260000,2500000000,14,136,150
517790000,1982210000,2500000000,11,119,130
1954170000,408210000,2362380000,20,136,156
1653860000,567600000,2221460000,24,122,146
1358510000,1141490000,2500000000,19,141,160
1791430000,708570000,2500000000,17,134,151
1591350000,908650000,2500000000,24,138,162
1300930000,1199070000,2500000000,18,121,139
1815320000,684680000,2500000000,17,132,149
1122610000,1377390000,2500000000,17,125,142
2208490000,291510000,2500000000,18,126,144
717100000,1782900000,2500000000,18,129,147
1257790000,1242210000,2500000000,15,129,144
1051060000,1448940000,2500000000,21,135,156
1270810000,1229190000,2500000000,16,123,139
611160000,1888840000,2500000000,15,130,145
446490000,2053510000,2500000000,15,130,145
611050000,1888950000,2500000000,17,127,144
457690000,2042310000,2500000000,11,115,126
866220000,1633780000,2500000000,14,132,146
896160000,1603840000,2500000000,15,125,140
903540000,1596460000,2500000000,11,118,129
1227160000,1272840000,2500000000,13,120,133
1062640000,1437360000,2500000000,19,125,144
1324560000,1175440000,2500000000,24,141,165
1224050000,1275950000,2500000000,26,138,164
1342610000,1157390000,2500000000,23,125,148
1570900000,929100000,2500000000,20,128,148
1483600000,1016400000,2500000000,19,130,149
1460380000,1039620000,2500000000,24,136,160
1721130000,778870000,2500000000,20,127,147
521090000,1978910000,2500000000,15,135,150
996980000,1503020000,2500000000,17,118,135
892540000,1607460000,2500000000,21,150,171
861570000,1638430000,2500000000,18,127,145
699660000,1800340000,2500000000,14,135,149
742350000,1757650000,2500000000,17,119,136
711480000,1788520000,2500000000,20,134,154
872010000,1627990000,2500000000,22,135,157
1113630000,1386370000,2500000000,14,118,132
885960000,1614040000,2500000000,13,123,136
936400000,1563600000,2500000000,13,120,133
830650000,1669350000,2500000000,13,125,138
1979450000,192790000,2172240000,18,106,124
1730230000,769770000,2500000000,23,142,165
1712770000,787230000,2500000000,21,133,154
2000180000,499820000,2500000000,23,129,152
1952470000,547530000,2500000000,20,132,152
1401720000,1098280000,2500000000,23,137,160
1469670000,1030330000,2500000000,22,134,156
1601850000,898150000,2500000000,22,132,154
1423580000,1076420000,2500000000,25,125,150
1094510000,1405490000,2500000000,12,127,139
1228590000,1271410000,2500000000,17,123,140
458180000,2041820000,2500000000,11,121,132
457770000,2042230000,2500000000,10,121,131
394120000,2105880000,2500000000,14,116,130
290680000,2209320000,2500000000,11,114,125
526450000,1973550000,2500000000,23,136,159
459960000,2040040000,2500000000,10,114,124
650490000,1849510000,2500000000,15,122,137
602760000,1897240000,2500000000,10,112,122
1409820000,889060000,2298880000,11,97,108
801870000,1698130000,2500000000,15,124,139
559520000,1940480000,2500000000,18,122,140
1617010000,623900000,2240910000,20,123,143
1296700000,1203300000,2500000000,23,119,142
76290000,2423710000,2500000000,20,117,137
320220000,2179780000,2500000000,18,114,132
1422200000,1040510000,2462710000,23,130,153
2051080000,409230000,2460310000,7,97,104
234890000,2265110000,2500000000,24,128,152
1491920000,757840000,2249760000,21,121,142
143690000,2356310000,2500000000,24,131,155
622340000,1877660000,2500000000,9,118,127
502070000,1997930000,2500000000,11,124,135
879550000,1620450000,2500000000,14,126,140
549560000,1950440000,2500000000,12,126,138
414870000,2085130000,2500000000,9,113,122
724700000,1775300000,2500000000,12,130,142
1347830000,1148260000,2496090000,20,149,169
382560000,2117440000,2500000000,13,126,139
139880000,2360120000,2500000000,12,114,126
237750000,2262250000,2500000000,12,120,132
1456120000,1029830000,2485950000,18,135,153
93510000,2406490000,2500000000,12,126,138
1384690000,601110000,1985800000,17,106,123
480910000,2019090000,2500000000,11,121,132
784190000,1715810000,2500000000,15,136,151
331660000,2168340000,2500000000,11,124,135
879040000,1620960000,2500000000,13,122,135
820040000,1679960000,2500000000,15,135,150
591390000,1908610000,2500000000,9,106,115
434030000,2065970000,2500000000,13,136,149
586540000,1913460000,2500000000,11,131,142
321290000,2178710000,2500000000,14,128,142
177170000,2322830000,2500000000,12,118,130
485590000,2014410000,2500000000,13,117,130
525380000,1974620000,2500000000,14,123,137
640020000,1859980000,2500000000,17,132,149
118360000,2381640000,2500000000,10,114,124
669300000,1830700000,2500000000,19,134,153
1654530000,539720000,2194250000,18,127,145
1022240000,1477760000,2500000000,20,134,154
909550000,1590450000,2500000000,17,132,149
1158640000,1341360000,2500000000,12,118,130
1127690000,1372310000,2500000000,14,123,137
937680000,1562320000,2500000000,8,109,117
643530000,1856470000,2500000000,18,136,154
640940000,1859060000,2500000000,16,133,149
818170000,1681830000,2500000000,15,134,149
948370000,1551630000,2500000000,16,131,147
780930000,1719070000,2500000000,11,107,118
1477010000,1022990000,2500000000,16,130,146
1336790000,1163210000,2500000000,12,111,123
1345670000,1154330000,2500000000,13,119,132
641030000,1858970000,2500000000,12,124,136
819520000,1680480000,2500000000,16,137,153
445140000,2054860000,2500000000,14,132,146
282400000,2217600000,2500000000,19,135,154
399540000,2100460000,2500000000,21,141,162
1012010000,1487990000,2500000000,19,140,159
434690000,2065310000,2500000000,16,139,155
2001220000,498780000,2500000000,19,124,143
997810000,1502190000,2500000000,18,136,154
860000000,1640000000,2500000000,20,128,148
1152500000,1347500000,2500000000,25,150,175
2004050000,494270000,2498320000,18,121,139
878480000,1621520000,2500000000,16,126,142
1063140000,1436860000,2500000000,11,119,130
2294920000,87560000,2382480000,34,123,157
2314890000,113060000,2427950000,34,122,156
1465990000,13580000,1479570000,23,76,99
2367810000,132190000,2500000000,32,120,152
1897860000,602140000,2500000000,40,134,174
2392740000,107260000,2500000000,31,107,138
2431800000,68200000,2500000000,30,117,147
2475960000,24040000,2500000000,30,105,135
1676650000,823350000,2500000000,22,124,146
2378330000,121670000,2500000000,30,104,134
2472510000,27490000,2500000000,41,115,156
2469410000,30590000,2500000000,34,108,142
1754250000,8560000,1762810000,39,118,157
2125810000,374190000,2500000000,16,109,125
2050540000,449460000,2500000000,22,139,161
1871060000,628940000,2500000000,16,128,144
2366140000,133860000,2500000000,19,118,137
1991230000,508770000,2500000000,21,123,144
2109480000,390520000,2500000000,20,106,126
2398330000,101670000,2500000000,23,118,141
1978660000,521340000,2500000000,19,126,145
2366590000,133410000,2500000000,22,118,140
1734440000,165380000,1899820000,14,90,104
2401020000,98980000,2500000000,20,118,138
2371500000,128500000,2500000000,19,115,134
1109100000,1390900000,2500000000,24,133,157
1503670000,996330000,2500000000,20,114,134
2288800000,211200000,2500000000,23,117,140
2397790000,102210000,2500000000,20,106,126
2335370000,164630000,2500000000,23,110,133
2191740000,308260000,2500000000,22,129,151
940670000,1559330000,2500000000,32,142,174
1965880000,534120000,2500000000,31,136,167
1133240000,1366760000,2500000000,25,129,154
2019390000,480610000,2500000000,26,131,157
1339390000,1160610000,2500000000,23,131,154
1220670000,1279330000,2500000000,25,131,156
913050000,1586950000,2500000000,25,132,157
1066520000,1433480000,2500000000,26,132,158
2247670000,252330000,2500000000,17,116,133
932710000,1567290000,2500000000,11,109,120
1617970000,882030000,2500000000,16,111,127
502870000,1997130000,2500000000,14,122,136
2196200000,303800000,2500000000,10,108,118
2428520000,71480000,2500000000,19,117,136
913900000,1586100000,2500000000,21,137,158
1740950000,759050000,2500000000,18,129,147
334560000,2165440000,2500000000,11,116,127
1968790000,531210000,2500000000,24,109,133
2331910000,168090000,2500000000,21,119,140
2293810000,206190000,2500000000,22,104,126
2365620000,134380000,2500000000,22,119,141
1395810000,1104190000,2500000000,23,124,147
896120000,1603880000,2500000000,27,123,150
896300000,1603700000,2500000000,19,123,142
1195920000,1304080000,2500000000,31,135,166
2161970000,295030000,2457000000,11,100,111
1212640000,1287360000,2500000000,14,133,147
2388920000,111080000,2500000000,13,113,126
676090000,1823910000,2500000000,11,107,118
2341810000,158190000,2500000000,9,108,117
1694790000,805210000,2500000000,26,135,161
87340000,2412660000,2500000000,11,113,124
1952500000,547500000,2500000000,24,127,151
69250000,2430750000,2500000000,13,114,127
2102560000,397440000,2500000000,21,109,130
2323180000,176820000,2500000000,24,121,145
2334710000,165290000,2500000000,20,97,117
2304360000,195640000,2500000000,22,105,127
1007700000,1492300000,2500000000,20,132,152
1445500000,1054500000,2500000000,23,121,144
