Forest,Agriculture,Other,Area_Total,forest_sp,agriculture_sp,generalist_sp,Sp_Total
124760000,247110000,2118270000,2490140000,23,21,75,119
145150000,388660000,1664230000,2198040000,16,22,61,99
181440000,1195730000,1122830000,2500000000,22,21,67,110
477670000,685220000,1337110000,2500000000,23,27,62,112
346850000,449720000,1703430000,2500000000,25,28,73,126
167350000,1758200000,574450000,2500000000,21,30,72,123
696300000,498280000,1305420000,2500000000,22,18,60,100
200940000,1827710000,471350000,2500000000,23,28,74,125
309660000,1837590000,352750000,2500000000,23,32,82,137
507050000,1229450000,763500000,2500000000,25,26,75,126
610450000,1457110000,432440000,2500000000,24,28,78,130
690250000,557200000,1252550000,2500000000,25,16,66,107
1195260000,1019350000,285390000,2500000000,25,22,67,114
867320000,811630000,821050000,2500000000,18,24,65,107
727390000,344930000,1427680000,2500000000,25,13,58,96
122960000,800110000,1576930000,2500000000,22,28,77,127
428910000,710430000,1360660000,2500000000,23,26,58,107
268670000,836450000,1394880000,2500000000,26,32,82,140
247410000,1806490000,446100000,2500000000,24,27,76,127
380690000,1471040000,648270000,2500000000,26,25,76,127
168510000,1698900000,632590000,2500000000,18,26,69,113
123410000,1844420000,532170000,2500000000,33,31,86,150
367440000,968540000,1164020000,2500000000,25,24,71,120
267670000,1074310000,1158020000,2500000000,29,28,78,135
39860000,768310000,1691830000,2500000000,26,41,100,167
15690000,31970000,1691670000,1739330000,20,27,75,122
572660000,767310000,1160030000,2500000000,27,28,76,131
902670000,960240000,637090000,2500000000,18,17,56,91
306960000,1560060000,632980000,2500000000,27,26,70,123
83550000,927110000,1489340000,2500000000,28,31,80,139
106360000,1936770000,456870000,2500000000,30,31,92,153
105550000,1452780000,941670000,2500000000,32,31,90,153
221930000,150110000,1897870000,2269910000,15,12,47,74
378310000,291380000,1715030000,2384720000,19,24,65,108
393800000,1022140000,1084060000,2500000000,26,17,59,102
717870000,615100000,1167030000,2500000000,23,14,57,94
790910000,449450000,1259640000,2500000000,25,21,70,116
395660000,676390000,1427950000,2500000000,17,17,65,99
939720000,490910000,1069370000,2500000000,27,20,72,119
368620000,461670000,1669710000,2500000000,26,17,69,112
880200000,904580000,715220000,2500000000,21,21,62,104
1020590000,641400000,838010000,2500000000,21,25,72,118
959760000,1026110000,514130000,2500000000,19,18,60,97
330930000,781840000,1387230000,2500000000,26,19,74,119
426730000,772570000,1300700000,2500000000,29,23,70,122
231880000,1226180000,1041940000,2500000000,29,19,71,119
300270000,1008810000,1190920000,2500000000,25,19,64,108
136740000,1328340000,1034920000,2500000000,33,24,75,132
97310000,1087810000,1314880000,2500000000,33,25,76,134
658310000,631120000,1210570000,2500000000,31,26,80,137
289820000,1128300000,1081880000,2500000000,27,22,75,124
278760000,1309910000,911330000,2500000000,31,19,77,127
936380000,973730000,589890000,2500000000,19,18,61,98
932320000,351770000,1215910000,2500000000,30,21,71,122
962640000,422910000,1114450000,2500000000,18,19,49,86
593010000,669810000,1237180000,2500000000,35,30,87,152
86650000,1243240000,1170110000,2500000000,32,30,84,146
138430000,1375380000,986190000,2500000000,30,31,71,132
324290000,883140000,1292570000,2500000000,33,28,80,141
663010000,186100000,1650890000,2500000000,33,21,72,126
887670000,241270000,1371060000,2500000000,34,22,72,128
9570000,28480000,1801990000,1840040000,7,24,51,82
88650000,24020000,2224480000,2337150000,9,19,47,75
40170000,64350000,2395480000,2500000000,15,17,54,86
32590000,143050000,2324360000,2500000000,17,21,52,90
168700000,319410000,2011890000,2500000000,16,22,52,90
85680000,250090000,2164230000,2500000000,11,21,52,84
27190000,115700000,2350320000,2493210000,15,22,60,97
125210000,176200000,2198590000,2500000000,17,27,54,98
59540000,148750000,2227520000,2435810000,13,22,50,85
83130000,213150000,2203720000,2500000000,15,23,58,96
249280000,174700000,2076020000,2500000000,16,20,51,87
186730000,371930000,1941340000,2500000000,17,29,50,96
11450000,79630000,2246990000,2338070000,14,29,63,106
185020000,222810000,2092170000,2500000000,16,13,47,76
33070000,204340000,2262590000,2500000000,12,16,54,82
96250000,261300000,2122050000,2479600000,15,18,58,91
111540000,91740000,2296720000,2500000000,14,17,54,85
194690000,186900000,2118410000,2500000000,16,21,50,87
225980000,165120000,2108900000,2500000000,12,16,51,79
66160000,70720000,2363120000,2500000000,16,25,50,91
93020000,103460000,2303520000,2500000000,18,15,45,78
39980000,175990000,2284030000,2500000000,13,23,55,91
66270000,129390000,2254070000,2449730000,16,27,61,104
57760000,83090000,2359150000,2500000000,12,23,54,89
427510000,1482570000,589920000,2500000000,31,32,90,153
331760000,278140000,1890100000,2500000000,20,23,66,109
94130000,438020000,1967850000,2500000000,17,17,53,87
117750000,243400000,2138850000,2500000000,16,19,50,85
32940000,533740000,1933320000,2500000000,16,20,64,100
147650000,0,2352350000,2500000000,19,25,58,102
577890000,1255140000,666970000,2500000000,31,35,89,155
159010000,1779690000,561300000,2500000000,20,31,68,119
308990000,990360000,1200650000,2500000000,33,33,89,155
49430000,1677780000,772790000,2500000000,28,33,89,150
347420000,1258790000,893790000,2500000000,35,37,105,177
386470000,1199360000,914170000,2500000000,29,31,81,141
132320000,42870000,1899100000,2074290000,24,21,61,106
117970000,1122780000,1259250000,2500000000,32,37,89,158
14980000,2381280000,103740000,2500000000,17,27,63,107
79960000,1949090000,470950000,2500000000,31,31,82,144
597340000,1217810000,684850000,2500000000,27,24,62,113
495730000,836660000,1167610000,2500000000,30,31,77,138
391010000,1080370000,1028620000,2500000000,26,30,68,124
270240000,1802550000,427210000,2500000000,31,35,88,154
218760000,663520000,1617720000,2500000000,31,32,80,143
162640000,583640000,1753720000,2500000000,28,28,82,138
206750000,1913800000,379450000,2500000000,27,24,62,113
144930000,1989240000,365830000,2500000000,30,31,77,138
204330000,1515170000,780500000,2500000000,29,29,71,129
446810000,900080000,1153110000,2500000000,28,28,67,123
246000000,1700290000,553710000,2500000000,26,29,63,118
74790000,1985290000,439920000,2500000000,26,33,86,145
95100000,428510000,1976390000,2500000000,25,27,83,135
479700000,1153680000,866620000,2500000000,29,27,66,122
643000000,684390000,1172610000,2500000000,27,24,59,110
366020000,1394490000,739490000,2500000000,25,22,52,99
587690000,1228040000,684270000,2500000000,27,32,67,126
798820000,199300000,1501880000,2500000000,28,22,69,119
125380000,1131410000,1243210000,2500000000,24,31,87,142
424860000,1273470000,801670000,2500000000,28,27,68,123
169180000,1389290000,941530000,2500000000,24,36,95,155
732110000,1314550000,453340000,2500000000,27,23,59,109
475490000,881890000,1142620000,2500000000,29,24,69,122
637290000,661610000,1201100000,2500000000,29,32,68,129
1009100000,289830000,1201070000,2500000000,33,24,70,127
1031050000,465970000,1002980000,2500000000,31,23,74,128
404490000,583170000,1512340000,2500000000,29,26,82,137
64350000,830940000,1604710000,2500000000,27,33,98,158
80850000,1113790000,1305360000,2500000000,29,29,83,141
536490000,688490000,1275020000,2500000000,30,28,85,143
463330000,428390000,1608280000,2500000000,35,29,84,148
103080000,1743410000,653510000,2500000000,29,34,81,144
579300000,880160000,1040540000,2500000000,33,34,84,151
449190000,340460000,1710350000,2500000000,36,30,82,148
915490000,273480000,1311030000,2500000000,34,27,81,142
159370000,2185960000,154670000,2500000000,31,34,73,138
142120000,1847340000,510540000,2500000000,31,34,78,143
977820000,1298490000,223690000,2500000000,32,34,74,140
434690000,1393530000,671780000,2500000000,33,34,85,152
55150000,2375850000,69000000,2500000000,23,33,73,129
133050000,2230510000,136440000,2500000000,29,32,70,131
143210000,2192690000,164100000,2500000000,26,35,75,136
383530000,1736940000,379530000,2500000000,30,32,75,137
839510000,96120000,1564370000,2500000000,39,23,76,138
956870000,975960000,567170000,2500000000,32,32,82,146
820760000,115610000,1563630000,2500000000,36,23,75,134
696900000,1343060000,460040000,2500000000,37,31,82,150
280640000,283700000,1675460000,2239800000,26,22,64,112
58320000,47850000,1573960000,1680130000,25,23,66,114
437510000,776500000,1285990000,2500000000,35,32,95,162
622660000,1291730000,585610000,2500000000,33,32,80,145
868580000,287810000,1343610000,2500000000,37,32,90,159
703900000,725510000,1070590000,2500000000,35,30,78,143
501120000,1002970000,995910000,2500000000,35,33,87,155
150420000,2086200000,263380000,2500000000,32,29,77,138
303870000,1960750000,235380000,2500000000,31,30,78,139
1168880000,554840000,776280000,2500000000,40,30,84,154
1049210000,999090000,451700000,2500000000,33,27,75,135
709120000,229390000,1561490000,2500000000,38,32,80,150
593520000,1011830000,894650000,2500000000,35,30,80,145
1027430000,489380000,983190000,2500000000,37,27,83,147
686820000,1247940000,565240000,2500000000,35,30,81,146
15250000,89270000,1893480000,1998000000,16,23,66,105
174950000,495480000,1824500000,2494930000,27,30,77,134
536750000,1318270000,644980000,2500000000,32,29,85,146
1394690000,463320000,641990000,2500000000,30,23,73,126
527850000,1092820000,879330000,2500000000,31,31,73,135
868980000,894100000,736920000,2500000000,32,29,77,138
1156540000,439770000,903690000,2500000000,25,26,65,116
1122100000,428440000,949460000,2500000000,36,28,85,149
1368200000,537980000,593820000,2500000000,34,30,80,144
394660000,1167240000,938100000,2500000000,36,34,84,154
483180000,1254650000,762170000,2500000000,33,32,80,145
1521090000,202060000,776850000,2500000000,32,29,86,147
703080000,1359370000,437550000,2500000000,38,35,100,173
1461240000,61680000,977080000,2500000000,34,25,79,138
785680000,1205050000,509270000,2500000000,38,32,88,158
45480000,611760000,1842760000,2500000000,25,34,83,142
297240000,1115780000,1086980000,2500000000,29,30,82,141
6830000,83910000,2025310000,2116050000,22,29,75,126
283020000,1612810000,604170000,2500000000,25,25,77,127
48540000,905470000,1545990000,2500000000,25,43,91,159
645630000,832900000,1021470000,2500000000,29,26,67,122
260690000,1646900000,592410000,2500000000,29,34,75,138
171150000,1840960000,487890000,2500000000,30,41,93,164
222340000,1590760000,686900000,2500000000,33,36,87,156
639090000,1333590000,527320000,2500000000,35,34,93,162
1273600000,181390000,1045010000,2500000000,36,22,74,132
759080000,1106920000,634000000,2500000000,39,36,90,165
1066360000,449310000,984330000,2500000000,37,25,77,139
1437220000,305300000,757480000,2500000000,41,25,88,154
474780000,64510000,1651610000,2190900000,28,18,72,118
536810000,499490000,1430440000,2466740000,32,28,87,147
626940000,497610000,1375450000,2500000000,29,23,65,117
556690000,1587300000,356010000,2500000000,30,25,77,132
263280000,1740000,1479680000,1744700000,27,23,71,121
249130000,11390000,1626940000,1887460000,21,17,67,105
868560000,469190000,1162250000,2500000000,30,25,83,138
124150000,118150000,1933380000,2175680000,23,34,84,141
134070000,10370000,1443010000,1587450000,21,21,62,104
292300000,1659970000,547730000,2500000000,27,40,90,157
484060000,1109660000,906280000,2500000000,25,34,90,149
107100000,1830190000,562710000,2500000000,25,22,78,125
41810000,608100000,1850090000,2500000000,25,40,90,155
146690000,1710800000,642510000,2500000000,29,24,82,135
122810000,1940420000,436770000,2500000000,26,31,80,137
179490000,1739370000,581140000,2500000000,25,23,78,126
91760000,1554270000,853970000,2500000000,29,38,89,156
141850000,1340220000,1017930000,2500000000,28,31,87,146
131340000,1655790000,712870000,2500000000,29,28,84,141
1048150000,311990000,1139860000,2500000000,32,23,70,125
130440000,1971240000,398320000,2500000000,28,34,77,139
548870000,1245710000,705420000,2500000000,37,34,88,159
181450000,1915610000,402940000,2500000000,26,32,77,135
838190000,567890000,1093920000,2500000000,42,21,79,142
1027320000,141850000,1330830000,2500000000,41,26,86,153
477980000,1449260000,572760000,2500000000,26,22,74,122
1215910000,737520000,546570000,2500000000,28,19,68,115
258990000,2033450000,207560000,2500000000,26,29,79,134
668630000,1570250000,261120000,2500000000,27,18,73,118
276380000,1748040000,475580000,2500000000,32,28,84,144
590890000,1233970000,675140000,2500000000,28,29,87,144
517110000,1589080000,393810000,2500000000,34,32,90,156
24740000,397660000,2077600000,2500000000,22,24,65,111
122420000,681520000,1696060000,2500000000,24,24,63,111
32180000,339550000,1868800000,2240530000,20,21,59,100
15360000,65020000,1705060000,1785440000,22,22,60,104
19470000,137360000,2187820000,2344650000,24,30,65,119
39010000,86620000,2374370000,2500000000,14,26,61,101
28440000,199220000,2272010000,2499670000,13,25,56,94
343600000,1770000,2154630000,2500000000,13,20,51,84
205810000,70210000,2223980000,2500000000,27,29,76,132
251290000,47160000,2201550000,2500000000,22,24,69,115
35330000,632450000,1832220000,2500000000,21,26,67,114
25450000,312910000,2159290000,2497650000,20,27,75,122
80320000,481030000,1937630000,2498980000,27,22,73,122
61820000,166480000,2271700000,2500000000,22,22,61,105
196740000,828050000,1475210000,2500000000,25,19,62,106
121820000,368040000,2010140000,2500000000,28,28,71,127
168850000,839830000,1491320000,2500000000,26,27,73,126
256290000,12520000,2231190000,2500000000,26,23,66,115
135240000,68570000,2296190000,2500000000,29,32,71,132
190250000,236680000,2073070000,2500000000,30,31,63,124
346070000,146770000,2007160000,2500000000,30,28,67,125
31830000,17750000,2450420000,2500000000,32,36,86,154
217060000,20470000,2261440000,2498970000,29,25,65,119
196220000,142730000,2161050000,2500000000,31,30,73,134
232460000,149730000,2117810000,2500000000,30,24,67,121
22290000,128890000,2106320000,2257500000,22,35,75,132
249730000,189050000,2061220000,2500000000,23,28,78,129
118950000,275020000,2106030000,2500000000,25,32,71,128
165070000,53390000,2281540000,2500000000,25,31,77,133
231640000,157000000,2111360000,2500000000,24,32,66,122
529380000,59880000,1910740000,2500000000,25,27,57,109
272820000,255550000,1971630000,2500000000,26,30,64,120
480800000,180150000,1839050000,2500000000,24,29,62,115
241410000,1437030000,821560000,2500000000,27,27,70,124
189500000,1743080000,567420000,2500000000,25,26,72,123
289190000,1883750000,327060000,2500000000,26,22,62,110
443590000,1708900000,347510000,2500000000,24,20,58,102
20690000,234060000,1751540000,2006290000,19,21,70,110
81020000,807190000,1611790000,2500000000,24,30,72,126
148310000,1259370000,1092320000,2500000000,28,25,69,122
468300000,397840000,1633860000,2500000000,28,27,73,128
270150000,616090000,1613760000,2500000000,30,33,83,146
192330000,1451660000,856010000,2500000000,27,24,66,117
287400000,780810000,1431790000,2500000000,29,33,79,141
74350000,1360080000,1065570000,2500000000,24,28,65,117
112670000,1322400000,1064930000,2500000000,28,31,73,132
69230000,876870000,1553900000,2500000000,25,30,62,117
174820000,1234590000,1090590000,2500000000,30,26,68,124
107270000,356310000,2036420000,2500000000,31,33,73,137
81590000,969300000,1449110000,2500000000,29,30,76,135
22920000,93830000,2383250000,2500000000,32,36,80,148
94700000,111290000,2294010000,2500000000,30,33,70,133
130090000,145910000,2224000000,2500000000,32,31,70,133
138670000,226980000,2134350000,2500000000,25,30,66,121
137380000,17590000,2345030000,2500000000,28,36,77,141
72880000,695710000,1731410000,2500000000,30,34,86,150
96550000,1159340000,1244110000,2500000000,30,32,81,143
544490000,176450000,1779060000,2500000000,22,24,63,109
43220000,440410000,1750240000,2233870000,30,34,84,148
160210000,1328430000,1011360000,2500000000,26,23,74,123
246360000,1866660000,386980000,2500000000,28,16,60,104
136910000,1342230000,1020860000,2500000000,28,29,79,136
308600000,1679690000,511710000,2500000000,27,23,77,127
19360000,215980000,2264660000,2500000000,22,26,74,122
195660000,362290000,1942050000,2500000000,29,33,76,138
89230000,360970000,1856930000,2307130000,27,32,76,135
47670000,1393130000,1059200000,2500000000,24,26,63,113
179710000,1260380000,1059910000,2500000000,25,32,69,126
172180000,582850000,1744970000,2500000000,29,28,73,130
114010000,1372130000,1013860000,2500000000,27,31,74,132
39740000,1257560000,1202700000,2500000000,22,30,67,119
54380000,2177850000,267770000,2500000000,19,31,68,118
88160000,1851680000,560160000,2500000000,23,32,71,126
57410000,1848760000,593830000,2500000000,26,35,74,135
116670000,1632300000,751030000,2500000000,27,35,76,138
78720000,1990880000,430400000,2500000000,20,30,66,116
239850000,816940000,1443210000,2500000000,29,34,75,138
107510000,1338480000,1054010000,2500000000,28,29,77,134
160740000,1683170000,656090000,2500000000,27,21,71,119
164850000,1023110000,1312040000,2500000000,32,22,76,130
146360000,1229350000,1124290000,2500000000,29,24,76,129
42400000,303720000,2121920000,2468040000,26,37,84,147
75480000,822390000,1602130000,2500000000,28,29,71,128
17900000,480040000,1783100000,2281040000,27,33,81,141
199450000,1215700000,1084850000,2500000000,26,23,67,116
367630000,1047260000,1085110000,2500000000,30,23,69,122
335340000,1117900000,1046760000,2500000000,27,26,75,128
386850000,1830000,2111320000,2500000000,21,30,57,108
319150000,1600000,2179250000,2500000000,20,24,54,98
306480000,1920000,2191600000,2500000000,23,29,58,110
91360000,2880000,2405760000,2500000000,21,29,62,112
133030000,3450000,2363520000,2500000000,28,27,56,111
389670000,2990000,2107340000,2500000000,25,24,57,106
20100000,1990000,2433960000,2456050000,20,31,67,118
87980000,2620000,2409400000,2500000000,22,30,65,117
334490000,4900000,2160610000,2500000000,26,30,66,122
413290000,218660000,1868050000,2500000000,28,33,72,133
369780000,587390000,1542830000,2500000000,29,32,76,137
522470000,327900000,1649630000,2500000000,29,33,78,140
213540000,10140000,2276320000,2500000000,31,33,64,128
616180000,285580000,1598240000,2500000000,28,32,77,137
291150000,2840000,2206010000,2500000000,32,31,72,135
131490000,0,2368510000,2500000000,22,30,62,114
359220000,83220000,2057560000,2500000000,26,32,72,130
145390000,34300000,2320310000,2500000000,21,33,75,129
7750000,3280000,2284410000,2295440000,12,22,54,88
0,38070000,2384550000,2422620000,9,29,57,95
711110000,1279340000,509550000,2500000000,33,25,72,130
129530000,739350000,1627380000,2496260000,28,31,89,148
493660000,1299530000,706810000,2500000000,30,34,85,149
807600000,1062060000,630340000,2500000000,34,27,83,144
994020000,711370000,794610000,2500000000,35,30,81,146
131970000,2088700000,279330000,2500000000,32,39,90,161
865650000,793500000,840850000,2500000000,38,24,84,146
949140000,55470000,1495390000,2500000000,39,20,74,133
531340000,1722430000,246230000,2500000000,26,15,71,112
336210000,1866370000,297420000,2500000000,26,15,69,110
764230000,1392840000,342930000,2500000000,24,20,71,115
470920000,1731240000,297840000,2500000000,24,19,73,116
517270000,1550340000,432390000,2500000000,32,27,78,137
789830000,1481470000,228700000,2500000000,29,19,73,121
681520000,1301950000,516530000,2500000000,33,30,75,138
1840000,266140000,1777220000,2045200000,29,32,93,154
563220000,986670000,950110000,2500000000,31,25,72,128
1126160000,349890000,1023950000,2500000000,44,24,78,146
244000000,1854860000,401140000,2500000000,32,40,85,157
1721220000,197960000,580820000,2500000000,40,22,82,144
957550000,948090000,594360000,2500000000,39,24,80,143
931620000,26290000,1542090000,2500000000,40,17,71,128
732680000,1200480000,566840000,2500000000,41,25,79,145
884480000,51110000,1564410000,2500000000,41,19,73,133
153900000,2138810000,207290000,2500000000,24,21,76,121
167320000,2098450000,234230000,2500000000,30,14,73,117
421940000,1754020000,324040000,2500000000,31,19,83,133
157450000,1767660000,574890000,2500000000,31,19,87,137
1137430000,977240000,385330000,2500000000,32,20,76,128
484850000,1692100000,323050000,2500000000,27,18,74,119
1105730000,789050000,605220000,2500000000,35,16,73,124
1036870000,868640000,594490000,2500000000,31,16,69,116
716470000,815380000,968150000,2500000000,30,19,78,127
1114930000,1010740000,374330000,2500000000,29,16,70,115
793600000,599960000,1106440000,2500000000,32,22,75,129
654540000,1005430000,840030000,2500000000,32,20,77,129
565280000,1669170000,265550000,2500000000,30,27,89,146
277820000,1228390000,993790000,2500000000,34,25,93,152
548580000,1160240000,791180000,2500000000,32,35,89,156
361210000,931060000,1207730000,2500000000,30,22,77,129
520100000,1472350000,507550000,2500000000,30,27,80,137
491950000,1589620000,418430000,2500000000,29,29,83,141
649440000,1607040000,243520000,2500000000,31,29,90,150
564230000,1668670000,267100000,2500000000,31,29,87,147
340400000,171910000,1960550000,2472860000,32,24,82,138
1495910000,280100000,723990000,2500000000,42,25,85,152
1034420000,410180000,1055400000,2500000000,41,23,77,141
1328510000,614660000,556830000,2500000000,34,23,76,133
1674820000,557190000,267990000,2500000000,40,25,83,148
1425120000,315340000,759540000,2500000000,36,21,77,134
699210000,1373170000,427620000,2500000000,37,21,82,140
1284700000,154460000,1060840000,2500000000,41,23,81,145
515710000,1155830000,828460000,2500000000,36,34,96,166
682640000,898420000,918940000,2500000000,40,39,99,178
564530000,1500100000,435370000,2500000000,32,20,78,130
541690000,1599820000,358490000,2500000000,34,20,84,138
731760000,1259680000,508560000,2500000000,37,23,74,134
1481660000,350130000,668210000,2500000000,37,17,74,128
1013620000,537770000,948610000,2500000000,31,16,74,121
700850000,1025500000,773650000,2500000000,34,19,78,131
639070000,467750000,1393180000,2500000000,32,23,82,137
703000000,737600000,1059400000,2500000000,35,20,75,130
1211450000,313360000,975190000,2500000000,35,18,72,125
1410360000,250770000,838870000,2500000000,34,18,75,127
804090000,519320000,1176590000,2500000000,38,23,75,136
670770000,223410000,1605820000,2500000000,37,23,80,140
339740000,1327600000,832660000,2500000000,28,26,88,142
458270000,859000000,1182730000,2500000000,33,27,85,145
472460000,935810000,1091730000,2500000000,30,23,90,143
353230000,697750000,1449020000,2500000000,33,20,80,133
1450670000,812020000,237310000,2500000000,31,29,87,147
772680000,1444500000,282820000,2500000000,28,27,88,143
715870000,1274080000,510050000,2500000000,32,27,88,147
433540000,1533630000,532830000,2500000000,28,27,93,148
43270000,382630000,1936480000,2362380000,32,29,86,147
18990000,461990000,1740480000,2221460000,25,38,93,156
748800000,1132880000,618320000,2500000000,37,27,94,158
1215140000,620990000,663870000,2500000000,35,22,79,136
181810000,675690000,1642500000,2500000000,27,35,100,162
911590000,516830000,1071580000,2500000000,35,26,78,139
961840000,449860000,1088300000,2500000000,45,27,83,155
827450000,493930000,1178620000,2500000000,41,24,85,150
1486890000,184370000,828740000,2500000000,43,19,77,139
609670000,1065450000,824880000,2500000000,38,25,84,147
1054540000,604890000,840570000,2500000000,35,22,87,144
858520000,401040000,1240440000,2500000000,40,33,99,172
1132360000,562260000,805380000,2500000000,38,29,91,158
527640000,643190000,1329170000,2500000000,30,24,89,143
342880000,953820000,1203300000,2500000000,29,22,86,137
546480000,417540000,1535980000,2500000000,30,22,84,136
372200000,387170000,1740630000,2500000000,33,27,90,150
767680000,1359990000,372330000,2500000000,30,19,84,133
830650000,802460000,866890000,2500000000,30,26,89,145
824530000,1164690000,510780000,2500000000,31,20,84,135
1133620000,216710000,1149670000,2500000000,31,20,76,127
685490000,1198510000,616000000,2500000000,26,26,82,134
74270000,993400000,1432330000,2500000000,26,42,96,164
835800000,1209310000,454890000,2500000000,40,24,85,149
330160000,666530000,1503310000,2500000000,29,39,98,166
1241600000,546590000,711810000,2500000000,41,19,88,148
998590000,845720000,655690000,2500000000,35,22,87,144
1133300000,848930000,517770000,2500000000,49,26,92,167
1144530000,867030000,488440000,2500000000,42,23,82,147
414870000,871720000,1213410000,2500000000,38,28,95,161
849420000,788760000,861820000,2500000000,42,24,81,147
612710000,1217910000,669380000,2500000000,43,34,103,180
691430000,1321580000,486990000,2500000000,42,29,83,154
593710000,706560000,1199730000,2500000000,36,27,94,157
668950000,804020000,1027030000,2500000000,36,32,90,158
583440000,1240690000,675870000,2500000000,36,25,93,154
693850000,1020110000,786040000,2500000000,44,31,100,175
1069750000,1034570000,395680000,2500000000,31,18,73,122
790170000,780640000,929190000,2500000000,32,21,86,139
873390000,1148750000,477860000,2500000000,33,23,82,138
712680000,1262280000,525040000,2500000000,36,27,95,158
94730000,35600000,2041910000,2172240000,27,18,75,120
1120260000,799420000,580320000,2500000000,40,24,87,151
1151500000,661670000,686830000,2500000000,32,27,87,146
1195970000,261440000,1042590000,2500000000,47,21,84,152
1156930000,546160000,796910000,2500000000,46,23,85,154
1087380000,762680000,649940000,2500000000,44,27,90,161
1126870000,563680000,809450000,2500000000,47,20,86,153
1324310000,398270000,777420000,2500000000,47,25,89,161
1097080000,576280000,826640000,2500000000,48,24,93,165
973480000,914980000,611540000,2500000000,34,22,90,146
1092550000,743160000,664290000,2500000000,41,24,92,157
418530000,1222930000,858540000,2500000000,28,21,71,120
403310000,1364070000,732620000,2500000000,30,25,77,132
345260000,1926680000,228060000,2500000000,27,20,76,123
252770000,2112530000,134700000,2500000000,29,26,72,127
357620000,1020320000,1122060000,2500000000,27,36,86,149
431130000,980800000,1088070000,2500000000,29,23,66,118
584670000,1194500000,720830000,2500000000,28,35,80,143
527480000,1634260000,338260000,2500000000,26,24,72,122
63180000,705630000,1530070000,2298880000,24,23,64,111
296090000,1129620000,1074290000,2500000000,26,25,76,127
278910000,839480000,1381610000,2500000000,28,32,75,135
88480000,202570000,1949860000,2240910000,25,32,72,129
99760000,787050000,1613190000,2500000000,24,34,75,133
60450000,1960910000,478640000,2500000000,24,36,74,134
64570000,1210400000,1225030000,2500000000,28,34,72,134
61970000,782360000,1618380000,2462710000,28,37,78,143
9980000,298230000,2152100000,2460310000,17,31,65,113
191190000,1912840000,395970000,2500000000,32,38,83,153
60010000,615100000,1574650000,2249760000,24,34,81,139
115500000,1807610000,576890000,2500000000,27,33,72,132
582400000,1559040000,358560000,2500000000,33,28,83,144
426660000,1762880000,310460000,2500000000,33,30,78,141
795090000,1102670000,602240000,2500000000,34,29,88,151
437150000,1800920000,261930000,2500000000,32,26,81,139
349980000,1591790000,558230000,2500000000,26,23,72,121
641890000,1501060000,357050000,2500000000,34,25,86,145
137940000,831840000,1526310000,2496090000,31,41,91,163
300600000,1767600000,431800000,2500000000,27,25,75,127
109600000,1778680000,611720000,2500000000,25,29,72,126
