polygon_id,Forest_t0,Agriculture_t0,Other_t0,Area_Total_t0,forest_sp_t0,agriculture_sp_t0,generalist_sp_t0,Sp_Total_t0,Forest_t1,Agriculture_t1,Other_t1,Area_Total_t1,forest_sp_t1,agriculture_sp_t1,generalist_sp_t1,Sp_Total_t1,delta_Forest,delta_Agriculture,delta_Other,delta_Area_Total,delta_forest_sp,delta_agriculture_sp,delta_generalist_sp,delta_Sp_Total
1_001,147070000,292150000,2050920000,2490140000,21,25,67,113,124760000,247110000,2118270000,2490140000,23,21,75,119,-22310000,-45040000,67350000,0,2,-4,8,6
1_002,172980000,395020000,1630040000,2198040000,20,24,65,109,145150000,388660000,1664230000,2198040000,16,22,61,99,-27830000,-6360000,34190000,0,-4,-2,-4,-10
1_003,175890000,1257450000,1066660000,2500000000,26,28,69,123,181440000,1195730000,1122830000,2500000000,22,21,67,110,5550000,-61720000,56170000,0,-4,-7,-2,-13
1_004,619460000,781250000,1099290000,2500000000,23,24,60,107,477670000,685220000,1337110000,2500000000,23,27,62,112,-141790000,-96030000,237820000,0,0,3,2,5
1_005,565210000,517030000,1417760000,2500000000,26,27,73,126,346850000,449720000,1703430000,2500000000,25,28,73,126,-218360000,-67310000,285670000,0,-1,1,0,0
1_006,248050000,1979790000,272160000,2500000000,21,29,61,111,167350000,1758200000,574450000,2500000000,21,30,72,123,-80700000,-221590000,302290000,0,0,1,11,12
1_007,991010000,445190000,1063800000,2500000000,20,26,67,113,696300000,498280000,1305420000,2500000000,22,18,60,100,-294710000,53090000,241620000,0,2,-8,-7,-13
1_008,597140000,1807380000,95480000,2500000000,21,29,70,120,200940000,1827710000,471350000,2500000000,23,28,74,125,-396200000,20330000,375870000,0,2,-1,4,5
1_009,469440000,1897980000,132580000,2500000000,23,30,65,118,309660000,1837590000,352750000,2500000000,23,32,82,137,-159780000,-60390000,220170000,0,0,2,17,19
1_010,597850000,1300620000,601530000,2500000000,22,26,68,116,507050000,1229450000,763500000,2500000000,25,26,75,126,-90800000,-71170000,161970000,0,3,0,7,10
1_011,719640000,1444340000,336020000,2500000000,22,28,72,122,610450000,1457110000,432440000,2500000000,24,28,78,130,-109190000,12770000,96420000,0,2,0,6,8
1_012,1221380000,659120000,619500000,2500000000,24,21,58,103,690250000,557200000,1252550000,2500000000,25,16,66,107,-531130000,-101920000,633050000,0,1,-5,8,4
1_013,1340190000,1046150000,113660000,2500000000,24,26,71,121,1195260000,1019350000,285390000,2500000000,25,22,67,114,-144930000,-26800000,171730000,0,1,-4,-4,-7
1_014,922150000,855170000,722680000,2500000000,21,25,67,113,867320000,811630000,821050000,2500000000,18,24,65,107,-54830000,-43540000,98370000,0,-3,-1,-2,-6
1_015,1456990000,358370000,684640000,2500000000,25,20,59,104,727390000,344930000,1427680000,2500000000,25,13,58,96,-729600000,-13440000,743040000,0,0,-7,-1,-8
1_016,148730000,854620000,1496650000,2500000000,25,31,73,129,122960000,800110000,1576930000,2500000000,22,28,77,127,-25770000,-54510000,80280000,0,-3,-3,4,-2
1_017,845680000,604670000,1049650000,2500000000,28,26,72,126,428910000,710430000,1360660000,2500000000,23,26,58,107,-416770000,105760000,311010000,0,-5,0,-14,-19
1_018,414280000,744400000,1341320000,2500000000,25,29,76,130,268670000,836450000,1394880000,2500000000,26,32,82,140,-145610000,92050000,53560000,0,1,3,6,10
1_019,439840000,1858190000,201970000,2500000000,22,28,67,117,247410000,1806490000,446100000,2500000000,24,27,76,127,-192430000,-51700000,244130000,0,2,-1,9,10
1_020,466820000,1356390000,676790000,2500000000,28,29,74,131,380690000,1471040000,648270000,2500000000,26,25,76,127,-86130000,114650000,-28520000,0,-2,-4,2,-4
1_021,380550000,2010980000,108470000,2500000000,18,28,67,113,168510000,1698900000,632590000,2500000000,18,26,69,113,-212040000,-312080000,524120000,0,0,-2,2,0
1_022,122230000,1766120000,611650000,2500000000,31,36,76,143,123410000,1844420000,532170000,2500000000,33,31,86,150,1180000,78300000,-79480000,0,2,-5,10,7
1_023,786170000,983310000,730520000,2500000000,26,26,68,120,367440000,968540000,1164020000,2500000000,25,24,71,120,-418730000,-14770000,433500000,0,-1,-2,3,0
1_024,484080000,1091590000,924330000,2500000000,33,34,80,147,267670000,1074310000,1158020000,2500000000,29,28,78,135,-216410000,-17280000,233690000,0,-4,-6,-2,-12
1_025,50250000,783370000,1666380000,2500000000,23,40,92,155,39860000,768310000,1691830000,2500000000,26,41,100,167,-10390000,-15060000,25450000,0,3,1,8,12
1_026,15130000,55280000,1668920000,1739330000,20,33,75,128,15690000,31970000,1691670000,1739330000,20,27,75,122,560000,-23310000,22750000,0,0,-6,0,-6
1_027,688730000,741300000,1069970000,2500000000,31,25,77,133,572660000,767310000,1160030000,2500000000,27,28,76,131,-116070000,26010000,90060000,0,-4,3,-1,-2
1_028,505860000,1099070000,895070000,2500000000,16,16,54,86,902670000,960240000,637090000,2500000000,18,17,56,91,396810000,-138830000,-257980000,0,2,1,2,5
1_029,283010000,1637100000,579890000,2500000000,24,25,68,117,306960000,1560060000,632980000,2500000000,27,26,70,123,23950000,-77040000,53090000,0,3,1,2,6
1_030,64010000,904160000,1531830000,2500000000,26,33,78,137,83550000,927110000,1489340000,2500000000,28,31,80,139,19540000,22950000,-42490000,0,2,-2,2,2
1_031,133870000,1985160000,380970000,2500000000,25,36,77,138,106360000,1936770000,456870000,2500000000,30,31,92,153,-27510000,-48390000,75900000,0,5,-5,15,15
1_032,96380000,1353660000,1049960000,2500000000,27,34,79,140,105550000,1452780000,941670000,2500000000,32,31,90,153,9170000,99120000,-108290000,0,5,-3,11,13
1_033,219170000,163890000,1886850000,2269910000,11,16,46,73,221930000,150110000,1897870000,2269910000,15,12,47,74,2760000,-13780000,11020000,0,4,-4,1,1
1_034,462900000,289980000,1631840000,2384720000,16,19,59,94,378310000,291380000,1715030000,2384720000,19,24,65,108,-84590000,1400000,83190000,0,3,5,6,14
1_035,594330000,1031150000,874520000,2500000000,21,16,50,87,393800000,1022140000,1084060000,2500000000,26,17,59,102,-200530000,-9010000,209540000,0,5,1,9,15
1_036,1017820000,635340000,846840000,2500000000,24,18,54,96,717870000,615100000,1167030000,2500000000,23,14,57,94,-299950000,-20240000,320190000,0,-1,-4,3,-2
1_037,748630000,529020000,1222350000,2500000000,21,20,68,109,790910000,449450000,1259640000,2500000000,25,21,70,116,42280000,-79570000,37290000,0,4,1,2,7
1_038,616790000,665380000,1217830000,2500000000,24,21,65,110,395660000,676390000,1427950000,2500000000,17,17,65,99,-221130000,11010000,210120000,0,-7,-4,0,-11
1_039,602590000,694890000,1202520000,2500000000,23,26,68,117,939720000,490910000,1069370000,2500000000,27,20,72,119,337130000,-203980000,-133150000,0,4,-6,4,2
1_040,445530000,474580000,1579890000,2500000000,26,25,78,129,368620000,461670000,1669710000,2500000000,26,17,69,112,-76910000,-12910000,89820000,0,0,-8,-9,-17
1_041,771040000,1126010000,602950000,2500000000,17,24,61,102,880200000,904580000,715220000,2500000000,21,21,62,104,109160000,-221430000,112270000,0,4,-3,1,2
1_042,993420000,751790000,754790000,2500000000,21,23,63,107,1020590000,641400000,838010000,2500000000,21,25,72,118,27170000,-110390000,83220000,0,0,2,9,11
1_043,632550000,1133560000,733890000,2500000000,18,18,56,92,959760000,1026110000,514130000,2500000000,19,18,60,97,327210000,-107450000,-219760000,0,1,0,4,5
1_044,481470000,784390000,1234140000,2500000000,25,21,61,107,330930000,781840000,1387230000,2500000000,26,19,74,119,-150540000,-2550000,153090000,0,1,-2,13,12
1_045,510000000,769190000,1220810000,2500000000,36,31,78,145,426730000,772570000,1300700000,2500000000,29,23,70,122,-83270000,3380000,79890000,0,-7,-8,-8,-23
1_046,367300000,1209360000,923340000,2500000000,24,22,56,102,231880000,1226180000,1041940000,2500000000,29,19,71,119,-135420000,16820000,118600000,0,5,-3,15,17
1_047,401060000,986000000,1112940000,2500000000,23,25,59,107,300270000,1008810000,1190920000,2500000000,25,19,64,108,-100790000,22810000,77980000,0,2,-6,5,1
1_048,240340000,1373610000,886050000,2500000000,31,31,69,131,136740000,1328340000,1034920000,2500000000,33,24,75,132,-103600000,-45270000,148870000,0,2,-7,6,1
1_049,117380000,1164760000,1217860000,2500000000,33,32,83,148,97310000,1087810000,1314880000,2500000000,33,25,76,134,-20070000,-76950000,97020000,0,0,-7,-7,-14
1_050,398500000,721480000,1380020000,2500000000,25,29,72,126,658310000,631120000,1210570000,2500000000,31,26,80,137,259810000,-90360000,-169450000,0,6,-3,8,11
1_051,363420000,1231180000,905400000,2500000000,31,28,75,134,289820000,1128300000,1081880000,2500000000,27,22,75,124,-73600000,-102880000,176480000,0,-4,-6,0,-10
1_052,286230000,1301070000,912700000,2500000000,30,27,77,134,278760000,1309910000,911330000,2500000000,31,19,77,127,-7470000,8840000,-1370000,0,1,-8,0,-7
1_053,443140000,1173540000,883320000,2500000000,21,20,66,107,936380000,973730000,589890000,2500000000,19,18,61,98,493240000,-199810000,-293430000,0,-2,-2,-5,-9
1_054,932070000,543190000,1024740000,2500000000,30,23,73,126,932320000,351770000,1215910000,2500000000,30,21,71,122,250000,-191420000,191170000,0,0,-2,-2,-4
1_055,858840000,549600000,1091560000,2500000000,17,21,54,92,962640000,422910000,1114450000,2500000000,18,19,49,86,103800000,-126690000,22890000,0,1,-2,-5,-6
1_056,606810000,682430000,1210760000,2500000000,36,30,80,146,593010000,669810000,1237180000,2500000000,35,30,87,152,-13800000,-12620000,26420000,0,-1,0,7,6
1_057,303540000,1296320000,900140000,2500000000,32,29,72,133,86650000,1243240000,1170110000,2500000000,32,30,84,146,-216890000,-53080000,269970000,0,0,1,12,13
1_058,220280000,1427780000,851940000,2500000000,35,37,86,158,138430000,1375380000,986190000,2500000000,30,31,71,132,-81850000,-52400000,134250000,0,-5,-6,-15,-26
1_059,666910000,1084110000,748980000,2500000000,31,28,72,131,324290000,883140000,1292570000,2500000000,33,28,80,141,-342620000,-200970000,543590000,0,2,0,8,10
1_060,582370000,136120000,1781510000,2500000000,29,18,59,106,663010000,186100000,1650890000,2500000000,33,21,72,126,80640000,49980000,-130620000,0,4,3,13,20
1_061,1120680000,441330000,937990000,2500000000,27,27,67,121,887670000,241270000,1371060000,2500000000,34,22,72,128,-233010000,-200060000,433070000,0,7,-5,5,7
1_062,5310000,35110000,1799620000,1840040000,13,30,64,107,9570000,28480000,1801990000,1840040000,7,24,51,82,4260000,-6630000,2370000,0,-6,-6,-13,-25
1_063,58030000,57560000,2221560000,2337150000,15,26,63,104,88650000,24020000,2224480000,2337150000,9,19,47,75,30620000,-33540000,2920000,0,-6,-7,-16,-29
1_064,37110000,112050000,2350840000,2500000000,19,27,69,115,40170000,64350000,2395480000,2500000000,15,17,54,86,3060000,-47700000,44640000,0,-4,-10,-15,-29
1_065,27670000,84540000,2387790000,2500000000,10,21,54,85,32590000,143050000,2324360000,2500000000,17,21,52,90,4920000,58510000,-63430000,0,7,0,-2,5
1_066,119890000,190870000,2189240000,2500000000,10,19,47,76,168700000,319410000,2011890000,2500000000,16,22,52,90,48810000,128540000,-177350000,0,6,3,5,14
1_067,32620000,163980000,2303400000,2500000000,18,25,63,106,85680000,250090000,2164230000,2500000000,11,21,52,84,53060000,86110000,-139170000,0,-7,-4,-11,-22
1_068,23120000,113910000,2356180000,2493210000,13,26,58,97,27190000,115700000,2350320000,2493210000,15,22,60,97,4070000,1790000,-5860000,0,2,-4,2,0
1_069,112360000,353130000,2034510000,2500000000,17,28,57,102,125210000,176200000,2198590000,2500000000,17,27,54,98,12850000,-176930000,164080000,0,0,-1,-3,-4
1_070,36010000,117270000,2282530000,2435810000,17,29,70,116,59540000,148750000,2227520000,2435810000,13,22,50,85,23530000,31480000,-55010000,0,-4,-7,-20,-31
1_071,70190000,171530000,2258280000,2500000000,16,27,61,104,83130000,213150000,2203720000,2500000000,15,23,58,96,12940000,41620000,-54560000,0,-1,-4,-3,-8
1_072,173250000,328050000,1998700000,2500000000,19,30,53,102,249280000,174700000,2076020000,2500000000,16,20,51,87,76030000,-153350000,77320000,0,-3,-10,-2,-15
1_073,184890000,326790000,1988320000,2500000000,20,31,56,107,186730000,371930000,1941340000,2500000000,17,29,50,96,1840000,45140000,-46980000,0,-3,-2,-6,-11
1_074,10730000,71200000,2256140000,2338070000,20,30,68,118,11450000,79630000,2246990000,2338070000,14,29,63,106,720000,8430000,-9150000,0,-6,-1,-5,-12
1_075,185500000,543890000,1770610000,2500000000,16,22,59,97,185020000,222810000,2092170000,2500000000,16,13,47,76,-480000,-321080000,321560000,0,0,-9,-12,-21
1_076,35240000,442590000,2022170000,2500000000,13,18,50,81,33070000,204340000,2262590000,2500000000,12,16,54,82,-2170000,-238250000,240420000,0,-1,-2,4,1
1_077,86140000,386000000,2007460000,2479600000,15,22,58,95,96250000,261300000,2122050000,2479600000,15,18,58,91,10110000,-124700000,114590000,0,0,-4,0,-4
1_078,39890000,143120000,2316990000,2500000000,16,20,54,90,111540000,91740000,2296720000,2500000000,14,17,54,85,71650000,-51380000,-20270000,0,-2,-3,0,-5
1_079,134840000,317640000,2047520000,2500000000,15,20,51,86,194690000,186900000,2118410000,2500000000,16,21,50,87,59850000,-130740000,70890000,0,1,1,-1,1
1_080,121150000,308250000,2070600000,2500000000,16,21,53,90,225980000,165120000,2108900000,2500000000,12,16,51,79,104830000,-143130000,38300000,0,-4,-5,-2,-11
1_081,28230000,101980000,2369790000,2500000000,16,27,57,100,66160000,70720000,2363120000,2500000000,16,25,50,91,37930000,-31260000,-6670000,0,0,-2,-7,-9
1_082,106350000,117800000,2275850000,2500000000,17,21,50,88,93020000,103460000,2303520000,2500000000,18,15,45,78,-13330000,-14340000,27670000,0,1,-6,-5,-10
1_083,33710000,159810000,2306480000,2500000000,19,24,61,104,39980000,175990000,2284030000,2500000000,13,23,55,91,6270000,16180000,-22450000,0,-6,-1,-6,-13
1_084,41040000,161160000,2247530000,2449730000,19,28,65,112,66270000,129390000,2254070000,2449730000,16,27,61,104,25230000,-31770000,6540000,0,-3,-1,-4,-8
1_085,64280000,106160000,2329560000,2500000000,18,29,63,110,57760000,83090000,2359150000,2500000000,12,23,54,89,-6520000,-23070000,29590000,0,-6,-6,-9,-21
1_086,365890000,1479860000,654250000,2500000000,25,34,82,141,427510000,1482570000,589920000,2500000000,31,32,90,153,61620000,2710000,-64330000,0,6,-2,8,12
1_087,239430000,421440000,1839130000,2500000000,18,28,66,112,331760000,278140000,1890100000,2500000000,20,23,66,109,92330000,-143300000,50970000,0,2,-5,0,-3
1_088,70130000,664930000,1764940000,2500000000,15,25,64,104,94130000,438020000,1967850000,2500000000,17,17,53,87,24000000,-226910000,202910000,0,2,-8,-11,-17
1_089,53260000,288930000,2157810000,2500000000,16,25,55,96,117750000,243400000,2138850000,2500000000,16,19,50,85,64490000,-45530000,-18960000,0,0,-6,-5,-11
1_090,25630000,615480000,1858890000,2500000000,18,24,67,109,32940000,533740000,1933320000,2500000000,16,20,64,100,7310000,-81740000,74430000,0,-2,-4,-3,-9
1_091,131530000,2240000,2366230000,2500000000,22,27,65,114,147650000,0,2352350000,2500000000,19,25,58,102,16120000,-2240000,-13880000,0,-3,-2,-7,-12
1_092,279420000,1510530000,710050000,2500000000,32,32,90,154,577890000,1255140000,666970000,2500000000,31,35,89,155,298470000,-255390000,-43080000,0,-1,3,-1,1
1_093,177720000,1765650000,556630000,2500000000,22,30,63,115,159010000,1779690000,561300000,2500000000,20,31,68,119,-18710000,14040000,4670000,0,-2,1,5,4
1_094,350550000,1022860000,1126590000,2500000000,29,30,76,135,308990000,990360000,1200650000,2500000000,33,33,89,155,-41560000,-32500000,74060000,0,4,3,13,20
1_095,48390000,1637350000,814260000,2500000000,28,34,82,144,49430000,1677780000,772790000,2500000000,28,33,89,150,1040000,40430000,-41470000,0,0,-1,7,6
1_096,314940000,1306160000,878900000,2500000000,33,33,86,152,347420000,1258790000,893790000,2500000000,35,37,105,177,32480000,-47370000,14890000,0,2,4,19,25
1_097,305690000,1269610000,924700000,2500000000,27,29,71,127,386470000,1199360000,914170000,2500000000,29,31,81,141,80780000,-70250000,-10530000,0,2,2,10,14
1_098,104330000,64350000,1905610000,2074290000,24,18,57,99,132320000,42870000,1899100000,2074290000,24,21,61,106,27990000,-21480000,-6510000,0,0,3,4,7
1_099,114180000,1325100000,1060720000,2500000000,29,31,80,140,117970000,1122780000,1259250000,2500000000,32,37,89,158,3790000,-202320000,198530000,0,3,6,9,18
1_100,20010000,2390150000,89840000,2500000000,25,30,69,124,14980000,2381280000,103740000,2500000000,17,27,63,107,-5030000,-8870000,13900000,0,-8,-3,-6,-17
1_101,98340000,1959360000,442300000,2500000000,25,32,77,134,79960000,1949090000,470950000,2500000000,31,31,82,144,-18380000,-10270000,28650000,0,6,-1,5,10
1_102,484810000,1199410000,815780000,2500000000,25,24,55,104,597340000,1217810000,684850000,2500000000,27,24,62,113,112530000,18400000,-130930000,0,2,0,7,9
1_103,461670000,762440000,1275890000,2500000000,29,25,69,123,495730000,836660000,1167610000,2500000000,30,31,77,138,34060000,74220000,-108280000,0,1,6,8,15
1_104,316930000,922020000,1261050000,2500000000,27,34,75,136,391010000,1080370000,1028620000,2500000000,26,30,68,124,74080000,158350000,-232430000,0,-1,-4,-7,-12
1_105,182410000,1916400000,401190000,2500000000,27,29,81,137,270240000,1802550000,427210000,2500000000,31,35,88,154,87830000,-113850000,26020000,0,4,6,7,17
1_106,225940000,778480000,1495580000,2500000000,31,30,70,131,218760000,663520000,1617720000,2500000000,31,32,80,143,-7180000,-114960000,122140000,0,0,2,10,12
1_107,136790000,750710000,1612500000,2500000000,27,27,71,125,162640000,583640000,1753720000,2500000000,28,28,82,138,25850000,-167070000,141220000,0,1,1,11,13
1_108,243730000,1931720000,324550000,2500000000,22,22,61,105,206750000,1913800000,379450000,2500000000,27,24,62,113,-36980000,-17920000,54900000,0,5,2,1,8
1_109,177050000,1994850000,328100000,2500000000,28,29,67,124,144930000,1989240000,365830000,2500000000,30,31,77,138,-32120000,-5610000,37730000,0,2,2,10,14
1_110,244300000,1492620000,763080000,2500000000,31,26,71,128,204330000,1515170000,780500000,2500000000,29,29,71,129,-39970000,22550000,17420000,0,-2,3,0,1
1_111,486270000,918480000,1095250000,2500000000,26,29,67,122,446810000,900080000,1153110000,2500000000,28,28,67,123,-39460000,-18400000,57860000,0,2,-1,0,1
1_112,115310000,1762410000,622280000,2500000000,24,34,66,124,246000000,1700290000,553710000,2500000000,26,29,63,118,130690000,-62120000,-68570000,0,2,-5,-3,-6
1_113,16930000,2052630000,430440000,2500000000,23,32,68,123,74790000,1985290000,439920000,2500000000,26,33,86,145,57860000,-67340000,9480000,0,3,1,18,22
1_114,58830000,457090000,1984080000,2500000000,27,31,78,136,95100000,428510000,1976390000,2500000000,25,27,83,135,36270000,-28580000,-7690000,0,-2,-4,5,-1
1_115,498960000,1372050000,628990000,2500000000,31,26,67,124,479700000,1153680000,866620000,2500000000,29,27,66,122,-19260000,-218370000,237630000,0,-2,1,-1,-2
1_116,580420000,709350000,1210230000,2500000000,23,26,57,106,643000000,684390000,1172610000,2500000000,27,24,59,110,62580000,-24960000,-37620000,0,4,-2,2,4
1_117,333500000,1458870000,707630000,2500000000,22,25,56,103,366020000,1394490000,739490000,2500000000,25,22,52,99,32520000,-64380000,31860000,0,3,-3,-4,-4
1_118,310490000,1387510000,802000000,2500000000,18,33,65,116,587690000,1228040000,684270000,2500000000,27,32,67,126,277200000,-159470000,-117730000,0,9,-1,2,10
1_119,729220000,196780000,1574000000,2500000000,32,22,66,120,798820000,199300000,1501880000,2500000000,28,22,69,119,69600000,2520000,-72120000,0,-4,0,3,-1
1_120,73210000,1241440000,1185350000,2500000000,25,30,76,131,125380000,1131410000,1243210000,2500000000,24,31,87,142,52170000,-110030000,57860000,0,-1,1,11,11
1_121,307800000,1374150000,818050000,2500000000,22,23,61,106,424860000,1273470000,801670000,2500000000,28,27,68,123,117060000,-100680000,-16380000,0,6,4,7,17
1_122,135390000,1658220000,706390000,2500000000,28,33,89,150,169180000,1389290000,941530000,2500000000,24,36,95,155,33790000,-268930000,235140000,0,-4,3,6,5
1_123,527380000,1449160000,523460000,2500000000,29,23,61,113,732110000,1314550000,453340000,2500000000,27,23,59,109,204730000,-134610000,-70120000,0,-2,0,-2,-4
1_124,538780000,1018480000,942740000,2500000000,28,24,67,119,475490000,881890000,1142620000,2500000000,29,24,69,122,-63290000,-136590000,199880000,0,1,0,2,3
1_125,465950000,762500000,1271550000,2500000000,28,23,61,112,637290000,661610000,1201100000,2500000000,29,32,68,129,171340000,-100890000,-70450000,0,1,9,7,17
1_126,772010000,471320000,1256670000,2500000000,26,22,62,110,1009100000,289830000,1201070000,2500000000,33,24,70,127,237090000,-181490000,-55600000,0,7,2,8,17
1_127,739550000,581680000,1178770000,2500000000,32,25,72,129,1031050000,465970000,1002980000,2500000000,31,23,74,128,291500000,-115710000,-175790000,0,-1,-2,2,-1
1_128,209990000,901850000,1388160000,2500000000,29,25,66,120,404490000,583170000,1512340000,2500000000,29,26,82,137,194500000,-318680000,124180000,0,0,1,16,17
1_129,56430000,987090000,1456480000,2500000000,28,32,87,147,64350000,830940000,1604710000,2500000000,27,33,98,158,7920000,-156150000,148230000,0,-1,1,11,11
1_130,46080000,1244970000,1208950000,2500000000,30,29,77,136,80850000,1113790000,1305360000,2500000000,29,29,83,141,34770000,-131180000,96410000,0,-1,0,6,5
1_131,457390000,956260000,1086350000,2500000000,35,30,81,146,536490000,688490000,1275020000,2500000000,30,28,85,143,79100000,-267770000,188670000,0,-5,-2,4,-3
1_132,378300000,508300000,1613400000,2500000000,36,27,86,149,463330000,428390000,1608280000,2500000000,35,29,84,148,85030000,-79910000,-5120000,0,-1,2,-2,-1
1_133,201010000,1774140000,524850000,2500000000,36,40,81,157,103080000,1743410000,653510000,2500000000,29,34,81,144,-97930000,-30730000,128660000,0,-7,-6,0,-13
1_134,626350000,1255410000,618240000,2500000000,31,37,81,149,579300000,880160000,1040540000,2500000000,33,34,84,151,-47050000,-375250000,422300000,0,2,-3,3,2
1_135,363600000,386730000,1749670000,2500000000,37,32,79,148,449190000,340460000,1710350000,2500000000,36,30,82,148,85590000,-46270000,-39320000,0,-1,-2,3,0
1_136,568290000,406610000,1525100000,2500000000,37,31,81,149,915490000,273480000,1311030000,2500000000,34,27,81,142,347200000,-133130000,-214070000,0,-3,-4,0,-7
1_137,143580000,2241420000,115000000,2500000000,27,31,77,135,159370000,2185960000,154670000,2500000000,31,34,73,138,15790000,-55460000,39670000,0,4,3,-4,3
1_138,147220000,1940430000,412350000,2500000000,31,32,76,139,142120000,1847340000,510540000,2500000000,31,34,78,143,-5100000,-93090000,98190000,0,0,2,2,4
1_139,770250000,1411350000,318400000,2500000000,30,28,64,122,977820000,1298490000,223690000,2500000000,32,34,74,140,207570000,-112860000,-94710000,0,2,6,10,18
1_140,383340000,1412210000,704450000,2500000000,34,33,79,146,434690000,1393530000,671780000,2500000000,33,34,85,152,51350000,-18680000,-32670000,0,-1,1,6,6
1_141,46580000,2372500000,80920000,2500000000,22,31,70,123,55150000,2375850000,69000000,2500000000,23,33,73,129,8570000,3350000,-11920000,0,1,2,3,6
1_142,103080000,2300680000,96240000,2500000000,26,31,75,132,133050000,2230510000,136440000,2500000000,29,32,70,131,29970000,-70170000,40200000,0,3,1,-5,-1
1_143,119490000,2226540000,153970000,2500000000,29,33,78,140,143210000,2192690000,164100000,2500000000,26,35,75,136,23720000,-33850000,10130000,0,-3,2,-3,-4
1_144,256750000,1871490000,371760000,2500000000,29,29,79,137,383530000,1736940000,379530000,2500000000,30,32,75,137,126780000,-134550000,7770000,0,1,3,-4,0
1_145,1131830000,125560000,1242610000,2500000000,35,23,71,129,839510000,96120000,1564370000,2500000000,39,23,76,138,-292320000,-29440000,321760000,0,4,0,5,9
1_146,849210000,1068750000,582040000,2500000000,34,31,80,145,956870000,975960000,567170000,2500000000,32,32,82,146,107660000,-92790000,-14870000,0,-2,1,2,1
1_147,982080000,73350000,1444570000,2500000000,36,24,75,135,820760000,115610000,1563630000,2500000000,36,23,75,134,-161320000,42260000,119060000,0,0,-1,0,-1
1_148,585080000,1475130000,439790000,2500000000,40,28,81,149,696900000,1343060000,460040000,2500000000,37,31,82,150,111820000,-132070000,20250000,0,-3,3,1,1
1_149,294280000,141930000,1803590000,2239800000,19,18,63,100,280640000,283700000,1675460000,2239800000,26,22,64,112,-13640000,141770000,-128130000,0,7,4,1,12
1_150,55750000,47410000,1576970000,1680130000,25,25,61,111,58320000,47850000,1573960000,1680130000,25,23,66,114,2570000,440000,-3010000,0,0,-2,5,3
1_151,206050000,970110000,1323840000,2500000000,34,31,85,150,437510000,776500000,1285990000,2500000000,35,32,95,162,231460000,-193610000,-37850000,0,1,1,10,12
1_152,410630000,1336870000,752500000,2500000000,30,26,72,128,622660000,1291730000,585610000,2500000000,33,32,80,145,212030000,-45140000,-166890000,0,3,6,8,17
1_153,507360000,279410000,1713230000,2500000000,37,32,84,153,868580000,287810000,1343610000,2500000000,37,32,90,159,361220000,8400000,-369620000,0,0,0,6,6
1_154,572850000,865400000,1061750000,2500000000,32,28,71,131,703900000,725510000,1070590000,2500000000,35,30,78,143,131050000,-139890000,8840000,0,3,2,7,12
1_155,345510000,1177800000,976690000,2500000000,35,31,79,145,501120000,1002970000,995910000,2500000000,35,33,87,155,155610000,-174830000,19220000,0,0,2,8,10
1_156,126200000,2127250000,246550000,2500000000,30,31,75,136,150420000,2086200000,263380000,2500000000,32,29,77,138,24220000,-41050000,16830000,0,2,-2,2,2
1_157,215360000,2062410000,222230000,2500000000,31,32,71,134,303870000,1960750000,235380000,2500000000,31,30,78,139,88510000,-101660000,13150000,0,0,-2,7,5
1_158,1226790000,681080000,592130000,2500000000,35,29,82,146,1168880000,554840000,776280000,2500000000,40,30,84,154,-57910000,-126240000,184150000,0,5,1,2,8
1_159,824830000,1161830000,513340000,2500000000,35,28,85,148,1049210000,999090000,451700000,2500000000,33,27,75,135,224380000,-162740000,-61640000,0,-2,-1,-10,-13
