polygon_id,Forest_t0,Agriculture_t0,Urban_t0,Grassland_t0,Other_t0,Area_Total_t0,forest_sp_t0,agriculture_sp_t0,generalist_sp_t0,Sp_Total_t0,Forest_t1,Agriculture_t1,Urban_t1,Grassland_t1,Other_t1,Area_Total_t1,forest_sp_t1,agriculture_sp_t1,generalist_sp_t1,Sp_Total_t1,delta_Forest,delta_Agriculture,delta_Urban,delta_Grassland,delta_Other,delta_Area_Total,delta_forest_sp,delta_agriculture_sp,delta_generalist_sp,delta_Sp_Total
1_001,147070000,292150000,454400000,20770000,1575750000,2490140000,21,25,67,113,124760000,247110000,482870000,31740000,1603660000,2490140000,23,21,75,119,-22310000,-45040000,28470000,10970000,27910000,0,2,-4,8,6
1_002,172980000,395020000,49980000,810000,1579250000,2198040000,20,24,65,109,145150000,388660000,58290000,3180000,1602760000,2198040000,16,22,61,99,-27830000,-6360000,8310000,2370000,23510000,0,-4,-2,-4,-10
1_003,175890000,1257450000,148490000,14550000,903620000,2500000000,26,28,69,123,181440000,1195730000,162710000,39290000,920830000,2500000000,22,21,67,110,5550000,-61720000,14220000,24740000,17210000,0,-4,-7,-2,-13
1_004,619460000,781250000,9630000,45460000,1044200000,2500000000,23,24,60,107,477670000,685220000,10270000,72720000,1254120000,2500000000,23,27,62,112,-141790000,-96030000,640000,27260000,209920000,0,0,3,2,5
1_005,565210000,517030000,59010000,50480000,1308270000,2500000000,26,27,73,126,346850000,449720000,70750000,50290000,1582390000,2500000000,25,28,73,126,-218360000,-67310000,11740000,-190000,274120000,0,-1,1,0,0
1_006,248050000,1979790000,12970000,16870000,242320000,2500000000,21,29,61,111,167350000,1758200000,10530000,122360000,441560000,2500000000,21,30,72,123,-80700000,-221590000,-2440000,105490000,199240000,0,0,1,11,12
1_007,991010000,445190000,30880000,380000,1032540000,2500000000,20,26,67,113,696300000,498280000,40750000,46400000,1218270000,2500000000,22,18,60,100,-294710000,53090000,9870000,46020000,185730000,0,2,-8,-7,-13
1_008,597140000,1807380000,24770000,3650000,67060000,2500000000,21,29,70,120,200940000,1827710000,27910000,304620000,138820000,2500000000,23,28,74,125,-396200000,20330000,3140000,300970000,71760000,0,2,-1,4,5
1_009,469440000,1897980000,24410000,13200000,94970000,2500000000,23,30,65,118,309660000,1837590000,28830000,141160000,182760000,2500000000,23,32,82,137,-159780000,-60390000,4420000,127960000,87790000,0,0,2,17,19
1_010,597850000,1300620000,132000000,30240000,439290000,2500000000,22,26,68,116,507050000,1229450000,158270000,25780000,579450000,2500000000,25,26,75,126,-90800000,-71170000,26270000,-4460000,140160000,0,3,0,7,10
1_011,719640000,1444340000,76290000,30640000,229090000,2500000000,22,28,72,122,610450000,1457110000,87300000,48260000,296880000,2500000000,24,28,78,130,-109190000,12770000,11010000,17620000,67790000,0,2,0,6,8
1_012,1221380000,659120000,39420000,4530000,575550000,2500000000,24,21,58,103,690250000,557200000,47570000,8320000,1196660000,2500000000,25,16,66,107,-531130000,-101920000,8150000,3790000,621110000,0,1,-5,8,4
1_013,1340190000,1046150000,9510000,1620000,102530000,2500000000,24,26,71,121,1195260000,1019350000,10850000,29500000,245040000,2500000000,25,22,67,114,-144930000,-26800000,1340000,27880000,142510000,0,1,-4,-4,-7
1_014,922150000,855170000,126330000,48740000,547610000,2500000000,21,25,67,113,867320000,811630000,143720000,24960000,652370000,2500000000,18,24,65,107,-54830000,-43540000,17390000,-23780000,104760000,0,-3,-1,-2,-6
1_015,1456990000,358370000,18800000,12750000,653090000,2500000000,25,20,59,104,727390000,344930000,25010000,5970000,1396700000,2500000000,25,13,58,96,-729600000,-13440000,6210000,-6780000,743610000,0,0,-7,-1,-8
1_016,148730000,854620000,22350000,46710000,1427590000,2500000000,25,31,73,129,122960000,800110000,38120000,52260000,1486550000,2500000000,22,28,77,127,-25770000,-54510000,15770000,5550000,58960000,0,-3,-3,4,-2
1_017,845680000,604670000,7430000,169460000,872760000,2500000000,28,26,72,126,428910000,710430000,11440000,174900000,1174320000,2500000000,23,26,58,107,-416770000,105760000,4010000,5440000,301560000,0,-5,0,-14,-19
1_018,414280000,744400000,53980000,48390000,1238950000,2500000000,25,29,76,130,268670000,836450000,80530000,47660000,1266690000,2500000000,26,32,82,140,-145610000,92050000,26550000,-730000,27740000,0,1,3,6,10
1_019,439840000,1858190000,16840000,41220000,143910000,2500000000,22,28,67,117,247410000,1806490000,18310000,165970000,261820000,2500000000,24,27,76,127,-192430000,-51700000,1470000,124750000,117910000,0,2,-1,9,10
1_020,466820000,1356390000,6910000,118840000,551040000,2500000000,28,29,74,131,380690000,1471040000,13210000,100790000,534270000,2500000000,26,25,76,127,-86130000,114650000,6300000,-18050000,-16770000,0,-2,-4,2,-4
1_021,380550000,2010980000,15190000,14730000,78550000,2500000000,18,28,67,113,168510000,1698900000,17780000,476480000,138330000,2500000000,18,26,69,113,-212040000,-312080000,2590000,461750000,59780000,0,0,-2,2,0
1_022,122230000,1766120000,43360000,322040000,246250000,2500000000,31,36,76,143,123410000,1844420000,55760000,274740000,201670000,2500000000,33,31,86,150,1180000,78300000,12400000,-47300000,-44580000,0,2,-5,10,7
1_023,786170000,983310000,22820000,35130000,672570000,2500000000,26,26,68,120,367440000,968540000,27860000,57290000,1078870000,2500000000,25,24,71,120,-418730000,-14770000,5040000,22160000,406300000,0,-1,-2,3,0
1_024,484080000,1091590000,3430000,187140000,733760000,2500000000,33,34,80,147,267670000,1074310000,8220000,328670000,821130000,2500000000,29,28,78,135,-216410000,-17280000,4790000,141530000,87370000,0,-4,-6,-2,-12
1_025,50250000,783370000,69970000,15240000,1581170000,2500000000,23,40,92,155,39860000,768310000,119400000,15700000,1556730000,2500000000,26,41,100,167,-10390000,-15060000,49430000,460000,-24440000,0,3,1,8,12
1_026,15130000,55280000,53640000,15490000,1599790000,1739330000,20,33,75,128,15690000,31970000,80750000,5970000,1604950000,1739330000,20,27,75,122,560000,-23310000,27110000,-9520000,5160000,0,0,-6,0,-6
1_027,688730000,741300000,12970000,62060000,994940000,2500000000,31,25,77,133,572660000,767310000,23970000,88810000,1047250000,2500000000,27,28,76,131,-116070000,26010000,11000000,26750000,52310000,0,-4,3,-1,-2
1_028,505860000,1099070000,5040000,303590000,586440000,2500000000,16,16,54,86,902670000,960240000,17260000,17980000,601850000,2500000000,18,17,56,91,396810000,-138830000,12220000,-285610000,15410000,0,2,1,2,5
1_029,283010000,1637100000,8120000,293570000,278200000,2500000000,24,25,68,117,306960000,1560060000,13940000,284610000,334430000,2500000000,27,26,70,123,23950000,-77040000,5820000,-8960000,56230000,0,3,1,2,6
1_030,64010000,904160000,21160000,1030490000,480180000,2500000000,26,33,78,137,83550000,927110000,34210000,969640000,485490000,2500000000,28,31,80,139,19540000,22950000,13050000,-60850000,5310000,0,2,-2,2,2
1_031,133870000,1985160000,18900000,139840000,222230000,2500000000,25,36,77,138,106360000,1936770000,33960000,207110000,215800000,2500000000,30,31,92,153,-27510000,-48390000,15060000,67270000,-6430000,0,5,-5,15,15
1_032,96380000,1353660000,11820000,269900000,768240000,2500000000,27,34,79,140,105550000,1452780000,24520000,464250000,452900000,2500000000,32,31,90,153,9170000,99120000,12700000,194350000,-315340000,0,5,-3,11,13
1_033,219170000,163890000,4230000,75200000,1807420000,2269910000,11,16,46,73,221930000,150110000,7170000,6100000,1884600000,2269910000,15,12,47,74,2760000,-13780000,2940000,-69100000,77180000,0,4,-4,1,1
1_034,462900000,289980000,242170000,16530000,1373140000,2384720000,16,19,59,94,378310000,291380000,266270000,9250000,1439510000,2384720000,19,24,65,108,-84590000,1400000,24100000,-7280000,66370000,0,3,5,6,14
1_035,594330000,1031150000,140410000,67260000,666850000,2500000000,21,16,50,87,393800000,1022140000,190390000,11680000,881990000,2500000000,26,17,59,102,-200530000,-9010000,49980000,-55580000,215140000,0,5,1,9,15
1_036,1017820000,635340000,36020000,50430000,760390000,2500000000,24,18,54,96,717870000,615100000,41010000,10140000,1115880000,2500000000,23,14,57,94,-299950000,-20240000,4990000,-40290000,355490000,0,-1,-4,3,-2
1_037,748630000,529020000,125440000,161250000,935660000,2500000000,21,20,68,109,790910000,449450000,187420000,14520000,1057700000,2500000000,25,21,70,116,42280000,-79570000,61980000,-146730000,122040000,0,4,1,2,7
1_038,616790000,665380000,102820000,64000000,1051010000,2500000000,24,21,65,110,395660000,676390000,137760000,9750000,1280440000,2500000000,17,17,65,99,-221130000,11010000,34940000,-54250000,229430000,0,-7,-4,0,-11
1_039,602590000,694890000,23310000,546930000,632280000,2500000000,23,26,68,117,939720000,490910000,44930000,28870000,995570000,2500000000,27,20,72,119,337130000,-203980000,21620000,-518060000,363290000,0,4,-6,4,2
1_040,445530000,474580000,14300000,334390000,1231200000,2500000000,26,25,78,129,368620000,461670000,23690000,84030000,1561990000,2500000000,26,17,69,112,-76910000,-12910000,9390000,-250360000,330790000,0,0,-8,-9,-17
1_041,771040000,1126010000,17880000,78380000,506690000,2500000000,17,24,61,102,880200000,904580000,32810000,15950000,666460000,2500000000,21,21,62,104,109160000,-221430000,14930000,-62430000,159770000,0,4,-3,1,2
1_042,993420000,751790000,49430000,123650000,581710000,2500000000,21,23,63,107,1020590000,641400000,104260000,20620000,713130000,2500000000,21,25,72,118,27170000,-110390000,54830000,-103030000,131420000,0,0,2,9,11
1_043,632550000,1133560000,15680000,142520000,575690000,2500000000,18,18,56,92,959760000,1026110000,34220000,25420000,454490000,2500000000,19,18,60,97,327210000,-107450000,18540000,-117100000,-121200000,0,1,0,4,5
1_044,481470000,784390000,32950000,146930000,1054260000,2500000000,25,21,61,107,330930000,781840000,37160000,28190000,1321880000,2500000000,26,19,74,119,-150540000,-2550000,4210000,-118740000,267620000,0,1,-2,13,12
1_045,510000000,769190000,18960000,300740000,901110000,2500000000,36,31,78,145,426730000,772570000,23930000,208170000,1068600000,2500000000,29,23,70,122,-83270000,3380000,4970000,-92570000,167490000,0,-7,-8,-8,-23
1_046,367300000,1209360000,15220000,114990000,793130000,2500000000,24,22,56,102,231880000,1226180000,21870000,34830000,985240000,2500000000,29,19,71,119,-135420000,16820000,6650000,-80160000,192110000,0,5,-3,15,17
1_047,401060000,986000000,20730000,110000000,982210000,2500000000,23,25,59,107,300270000,1008810000,24740000,16590000,1149590000,2500000000,25,19,64,108,-100790000,22810000,4010000,-93410000,167380000,0,2,-6,5,1
1_048,240340000,1373610000,10080000,193720000,682250000,2500000000,31,31,69,131,136740000,1328340000,16320000,81200000,937400000,2500000000,33,24,75,132,-103600000,-45270000,6240000,-112520000,255150000,0,2,-7,6,1
1_049,117380000,1164760000,8360000,219730000,989770000,2500000000,33,32,83,148,97310000,1087810000,11430000,191340000,1112110000,2500000000,33,25,76,134,-20070000,-76950000,3070000,-28390000,122340000,0,0,-7,-7,-14
1_050,398500000,721480000,5170000,518640000,856210000,2500000000,25,29,72,126,658310000,631120000,18430000,38520000,1153620000,2500000000,31,26,80,137,259810000,-90360000,13260000,-480120000,297410000,0,6,-3,8,11
1_051,363420000,1231180000,19020000,141690000,744690000,2500000000,31,28,75,134,289820000,1128300000,32400000,58280000,991200000,2500000000,27,22,75,124,-73600000,-102880000,13380000,-83410000,246510000,0,-4,-6,0,-10
1_052,286230000,1301070000,12350000,122270000,778080000,2500000000,30,27,77,134,278760000,1309910000,14390000,53810000,843130000,2500000000,31,19,77,127,-7470000,8840000,2040000,-68460000,65050000,0,1,-8,0,-7
1_053,443140000,1173540000,7760000,81640000,793920000,2500000000,21,20,66,107,936380000,973730000,14660000,6470000,568760000,2500000000,19,18,61,98,493240000,-199810000,6900000,-75170000,-225160000,0,-2,-2,-5,-9
1_054,932070000,543190000,27280000,174790000,822670000,2500000000,30,23,73,126,932320000,351770000,40870000,172930000,1002110000,2500000000,30,21,71,122,250000,-191420000,13590000,-1860000,179440000,0,0,-2,-2,-4
1_055,858840000,549600000,10720000,330700000,750140000,2500000000,17,21,54,92,962640000,422910000,17520000,50010000,1046920000,2500000000,18,19,49,86,103800000,-126690000,6800000,-280690000,296780000,0,1,-2,-5,-6
1_056,606810000,682430000,2430000,213720000,994610000,2500000000,36,30,80,146,593010000,669810000,8110000,273350000,955720000,2500000000,35,30,87,152,-13800000,-12620000,5680000,59630000,-38890000,0,-1,0,7,6
1_057,303540000,1296320000,4920000,258270000,636950000,2500000000,32,29,72,133,86650000,1243240000,9950000,464260000,695900000,2500000000,32,30,84,146,-216890000,-53080000,5030000,205990000,58950000,0,0,1,12,13
1_058,220280000,1427780000,5510000,536900000,309530000,2500000000,35,37,86,158,138430000,1375380000,11360000,691490000,283340000,2500000000,30,31,71,132,-81850000,-52400000,5850000,154590000,-26190000,0,-5,-6,-15,-26
1_059,666910000,1084110000,1400000,84710000,662870000,2500000000,31,28,72,131,324290000,883140000,7590000,252620000,1032360000,2500000000,33,28,80,141,-342620000,-200970000,6190000,167910000,369490000,0,2,0,8,10
1_060,582370000,136120000,3930000,562130000,1215450000,2500000000,29,18,59,106,663010000,186100000,4540000,337870000,1308480000,2500000000,33,21,72,126,80640000,49980000,610000,-224260000,93030000,0,4,3,13,20
1_061,1120680000,441330000,16380000,241070000,680540000,2500000000,27,27,67,121,887670000,241270000,21550000,295890000,1053620000,2500000000,34,22,72,128,-233010000,-200060000,5170000,54820000,373080000,0,7,-5,5,7
1_062,5310000,35110000,2610000,69960000,1727050000,1840040000,13,30,64,107,9570000,28480000,3000000,78790000,1720200000,1840040000,7,24,51,82,4260000,-6630000,390000,8830000,-6850000,0,-6,-6,-13,-25
1_063,58030000,57560000,3030000,235730000,1982800000,2337150000,15,26,63,104,88650000,24020000,2800000,257130000,1964550000,2337150000,9,19,47,75,30620000,-33540000,-230000,21400000,-18250000,0,-6,-7,-16,-29
1_064,37110000,112050000,7280000,518800000,1824760000,2500000000,19,27,69,115,40170000,64350000,8810000,545610000,1841060000,2500000000,15,17,54,86,3060000,-47700000,1530000,26810000,16300000,0,-4,-10,-15,-29
1_065,27670000,84540000,2040000,194440000,2191310000,2500000000,10,21,54,85,32590000,143050000,3040000,109030000,2212290000,2500000000,17,21,52,90,4920000,58510000,1000000,-85410000,20980000,0,7,0,-2,5
1_066,119890000,190870000,8900000,946780000,1233560000,2500000000,10,19,47,76,168700000,319410000,11830000,836180000,1163880000,2500000000,16,22,52,90,48810000,128540000,2930000,-110600000,-69680000,0,6,3,5,14
1_067,32620000,163980000,13840000,594360000,1695200000,2500000000,18,25,63,106,85680000,250090000,16430000,477660000,1670140000,2500000000,11,21,52,84,53060000,86110000,2590000,-116700000,-25060000,0,-7,-4,-11,-22
1_068,23120000,113910000,1970000,68970000,2285240000,2493210000,13,26,58,97,27190000,115700000,2390000,23680000,2324250000,2493210000,15,22,60,97,4070000,1790000,420000,-45290000,39010000,0,2,-4,2,0
1_069,112360000,353130000,9530000,548640000,1476340000,2500000000,17,28,57,102,125210000,176200000,11700000,698600000,1488290000,2500000000,17,27,54,98,12850000,-176930000,2170000,149960000,11950000,0,0,-1,-3,-4
1_070,36010000,117270000,4400000,164190000,2113940000,2435810000,17,29,70,116,59540000,148750000,7580000,97180000,2122760000,2435810000,13,22,50,85,23530000,31480000,3180000,-67010000,8820000,0,-4,-7,-20,-31
1_071,70190000,171530000,16580000,497740000,1743960000,2500000000,16,27,61,104,83130000,213150000,20830000,458070000,1724820000,2500000000,15,23,58,96,12940000,41620000,4250000,-39670000,-19140000,0,-1,-4,-3,-8
1_072,173250000,328050000,26870000,847960000,1123870000,2500000000,19,30,53,102,249280000,174700000,42650000,946390000,1086980000,2500000000,16,20,51,87,76030000,-153350000,15780000,98430000,-36890000,0,-3,-10,-2,-15
1_073,184890000,326790000,16720000,1151030000,820570000,2500000000,20,31,56,107,186730000,371930000,30640000,1065320000,845380000,2500000000,17,29,50,96,1840000,45140000,13920000,-85710000,24810000,0,-3,-2,-6,-11
1_074,10730000,71200000,8280000,96140000,2151720000,2338070000,20,30,68,118,11450000,79630000,11290000,77760000,2157940000,2338070000,14,29,63,106,720000,8430000,3010000,-18380000,6220000,0,-6,-1,-5,-12
1_075,185500000,543890000,23630000,1571560000,175420000,2500000000,16,22,59,97,185020000,222810000,29250000,1902980000,159940000,2500000000,16,13,47,76,-480000,-321080000,5620000,331420000,-15480000,0,0,-9,-12,-21
1_076,35240000,442590000,82760000,862160000,1077250000,2500000000,13,18,50,81,33070000,204340000,93150000,1099260000,1070180000,2500000000,12,16,54,82,-2170000,-238250000,10390000,237100000,-7070000,0,-1,-2,4,1
1_077,86140000,386000000,17830000,713850000,1275780000,2479600000,15,22,58,95,96250000,261300000,24860000,832230000,1264960000,2479600000,15,18,58,91,10110000,-124700000,7030000,118380000,-10820000,0,0,-4,0,-4
1_078,39890000,143120000,70100000,1981400000,265490000,2500000000,16,20,54,90,111540000,91740000,74050000,2004100000,218570000,2500000000,14,17,54,85,71650000,-51380000,3950000,22700000,-46920000,0,-2,-3,0,-5
1_079,134840000,317640000,20500000,1632530000,394490000,2500000000,15,20,51,86,194690000,186900000,20960000,1751400000,346050000,2500000000,16,21,50,87,59850000,-130740000,460000,118870000,-48440000,0,1,1,-1,1
1_080,121150000,308250000,18760000,1766180000,285660000,2500000000,16,21,53,90,225980000,165120000,22430000,1852520000,233950000,2500000000,12,16,51,79,104830000,-143130000,3670000,86340000,-51710000,0,-4,-5,-2,-11
1_081,28230000,101980000,30650000,1788660000,550480000,2500000000,16,27,57,100,66160000,70720000,33350000,1826770000,503000000,2500000000,16,25,50,91,37930000,-31260000,2700000,38110000,-47480000,0,0,-2,-7,-9
1_082,106350000,117800000,21480000,2062810000,191560000,2500000000,17,21,50,88,93020000,103460000,38200000,2055300000,210020000,2500000000,18,15,45,78,-13330000,-14340000,16720000,-7510000,18460000,0,1,-6,-5,-10
1_083,33710000,159810000,90490000,2009740000,206250000,2500000000,19,24,61,104,39980000,175990000,129700000,1931310000,223020000,2500000000,13,23,55,91,6270000,16180000,39210000,-78430000,16770000,0,-6,-1,-6,-13
1_084,41040000,161160000,59130000,453950000,1734450000,2449730000,19,28,65,112,66270000,129390000,70730000,481710000,1701630000,2449730000,16,27,61,104,25230000,-31770000,11600000,27760000,-32820000,0,-3,-1,-4,-8
1_085,64280000,106160000,24680000,628460000,1676420000,2500000000,18,29,63,110,57760000,83090000,35880000,618560000,1704710000,2500000000,12,23,54,89,-6520000,-23070000,11200000,-9900000,28290000,0,-6,-6,-9,-21
1_086,365890000,1479860000,10260000,96060000,547930000,2500000000,25,34,82,141,427510000,1482570000,22830000,64480000,502610000,2500000000,31,32,90,153,61620000,2710000,12570000,-31580000,-45320000,0,6,-2,8,12
1_087,239430000,421440000,58090000,957900000,823140000,2500000000,18,28,66,112,331760000,278140000,73720000,1108090000,708290000,2500000000,20,23,66,109,92330000,-143300000,15630000,150190000,-114850000,0,2,-5,0,-3
1_088,70130000,664930000,31140000,893000000,840800000,2500000000,15,25,64,104,94130000,438020000,47510000,1095650000,824690000,2500000000,17,17,53,87,24000000,-226910000,16370000,202650000,-16110000,0,2,-8,-11,-17
1_089,53260000,288930000,36700000,1678860000,442250000,2500000000,16,25,55,96,117750000,243400000,40320000,1722590000,375940000,2500000000,16,19,50,85,64490000,-45530000,3620000,43730000,-66310000,0,0,-6,-5,-11
1_090,25630000,615480000,380160000,943780000,534950000,2500000000,18,24,67,109,32940000,533740000,444530000,943570000,545220000,2500000000,16,20,64,100,7310000,-81740000,64370000,-210000,10270000,0,-2,-4,-3,-9
1_091,131530000,2240000,540000,246510000,2119180000,2500000000,22,27,65,114,147650000,0,2210000,279380000,2070760000,2500000000,19,25,58,102,16120000,-2240000,1670000,32870000,-48420000,0,-3,-2,-7,-12
1_092,279420000,1510530000,24200000,316700000,369150000,2500000000,32,32,90,154,577890000,1255140000,34650000,355410000,276910000,2500000000,31,35,89,155,298470000,-255390000,10450000,38710000,-92240000,0,-1,3,-1,1
1_093,177720000,1765650000,6100000,275440000,275090000,2500000000,22,30,63,115,159010000,1779690000,9710000,283000000,268590000,2500000000,20,31,68,119,-18710000,14040000,3610000,7560000,-6500000,0,-2,1,5,4
1_094,350550000,1022860000,5640000,481000000,639950000,2500000000,29,30,76,135,308990000,990360000,13390000,500240000,687020000,2500000000,33,33,89,155,-41560000,-32500000,7750000,19240000,47070000,0,4,3,13,20
1_095,48390000,1637350000,19100000,575030000,220130000,2500000000,28,34,82,144,49430000,1677780000,40800000,525660000,206330000,2500000000,28,33,89,150,1040000,40430000,21700000,-49370000,-13800000,0,0,-1,7,6
1_096,314940000,1306160000,11060000,181790000,686050000,2500000000,33,33,86,152,347420000,1258790000,26480000,263550000,603760000,2500000000,35,37,105,177,32480000,-47370000,15420000,81760000,-82290000,0,2,4,19,25
1_097,305690000,1269610000,10680000,44370000,869650000,2500000000,27,29,71,127,386470000,1199360000,29100000,83130000,801940000,2500000000,29,31,81,141,80780000,-70250000,18420000,38760000,-67710000,0,2,2,10,14
1_098,104330000,64350000,75100000,6800000,1823710000,2074290000,24,18,57,99,132320000,42870000,117060000,39200000,1742840000,2074290000,24,21,61,106,27990000,-21480000,41960000,32400000,-80870000,0,0,3,4,7
1_099,114180000,1325100000,101850000,71710000,887160000,2500000000,29,31,80,140,117970000,1122780000,149450000,65290000,1044510000,2500000000,32,37,89,158,3790000,-202320000,47600000,-6420000,157350000,0,3,6,9,18
1_100,20010000,2390150000,19860000,20380000,49600000,2500000000,25,30,69,124,14980000,2381280000,28180000,38270000,37290000,2500000000,17,27,63,107,-5030000,-8870000,8320000,17890000,-12310000,0,-8,-3,-6,-17
1_101,98340000,1959360000,22360000,141770000,278170000,2500000000,25,32,77,134,79960000,1949090000,45000000,85190000,340760000,2500000000,31,31,82,144,-18380000,-10270000,22640000,-56580000,62590000,0,6,-1,5,10
1_102,484810000,1199410000,11930000,25590000,778260000,2500000000,25,24,55,104,597340000,1217810000,20650000,54580000,609620000,2500000000,27,24,62,113,112530000,18400000,8720000,28990000,-168640000,0,2,0,7,9
1_103,461670000,762440000,2350000,248340000,1025200000,2500000000,29,25,69,123,495730000,836660000,7380000,314860000,845370000,2500000000,30,31,77,138,34060000,74220000,5030000,66520000,-179830000,0,1,6,8,15
1_104,316930000,922020000,6240000,479020000,775790000,2500000000,27,34,75,136,391010000,1080370000,10690000,416740000,601190000,2500000000,26,30,68,124,74080000,158350000,4450000,-62280000,-174600000,0,-1,-4,-7,-12
1_105,182410000,1916400000,42340000,82270000,276580000,2500000000,27,29,81,137,270240000,1802550000,59350000,180440000,187420000,2500000000,31,35,88,154,87830000,-113850000,17010000,98170000,-89160000,0,4,6,7,17
1_106,225940000,778480000,24650000,14640000,1456290000,2500000000,31,30,70,131,218760000,663520000,44120000,43240000,1530360000,2500000000,31,32,80,143,-7180000,-114960000,19470000,28600000,74070000,0,0,2,10,12
1_107,136790000,750710000,8090000,3450000,1600960000,2500000000,27,27,71,125,162640000,583640000,19030000,100140000,1634550000,2500000000,28,28,82,138,25850000,-167070000,10940000,96690000,33590000,0,1,1,11,13
1_108,243730000,1931720000,24280000,32910000,267360000,2500000000,22,22,61,105,206750000,1913800000,44800000,100800000,233850000,2500000000,27,24,62,113,-36980000,-17920000,20520000,67890000,-33510000,0,5,2,1,8
1_109,177050000,1994850000,80140000,31270000,216690000,2500000000,28,29,67,124,144930000,1989240000,126550000,64400000,174880000,2500000000,30,31,77,138,-32120000,-5610000,46410000,33130000,-41810000,0,2,2,10,14
1_110,244300000,1492620000,6280000,13100000,743700000,2500000000,31,26,71,128,204330000,1515170000,10260000,303550000,466690000,2500000000,29,29,71,129,-39970000,22550000,3980000,290450000,-277010000,0,-2,3,0,1
1_111,486270000,918480000,7740000,4290000,1083220000,2500000000,26,29,67,122,446810000,900080000,24050000,249420000,879640000,2500000000,28,28,67,123,-39460000,-18400000,16310000,245130000,-203580000,0,2,-1,0,1
1_112,115310000,1762410000,11470000,75820000,534990000,2500000000,24,34,66,124,246000000,1700290000,19960000,147990000,385760000,2500000000,26,29,63,118,130690000,-62120000,8490000,72170000,-149230000,0,2,-5,-3,-6
1_113,16930000,2052630000,34230000,17090000,379120000,2500000000,23,32,68,123,74790000,1985290000,56490000,93270000,290160000,2500000000,26,33,86,145,57860000,-67340000,22260000,76180000,-88960000,0,3,1,18,22
1_114,58830000,457090000,35410000,0,1948670000,2500000000,27,31,78,136,95100000,428510000,59720000,139280000,1777390000,2500000000,25,27,83,135,36270000,-28580000,24310000,139280000,-171280000,0,-2,-4,5,-1
1_115,498960000,1372050000,6470000,3080000,619440000,2500000000,31,26,67,124,479700000,1153680000,13330000,347260000,506030000,2500000000,29,27,66,122,-19260000,-218370000,6860000,344180000,-113410000,0,-2,1,-1,-2
1_116,580420000,709350000,3910000,2640000,1203680000,2500000000,23,26,57,106,643000000,684390000,5900000,225160000,941550000,2500000000,27,24,59,110,62580000,-24960000,1990000,222520000,-262130000,0,4,-2,2,4
1_117,333500000,1458870000,3310000,12960000,691360000,2500000000,22,25,56,103,366020000,1394490000,5110000,253870000,480510000,2500000000,25,22,52,99,32520000,-64380000,1800000,240910000,-210850000,0,3,-3,-4,-4
1_118,310490000,1387510000,5520000,119670000,676810000,2500000000,18,33,65,116,587690000,1228040000,10820000,315010000,358440000,2500000000,27,32,67,126,277200000,-159470000,5300000,195340000,-318370000,0,9,-1,2,10
