polygon_id,Natural_t0,Human_dominated_t0,Area_Total_t0,natural_sp_t0,human_dominated_sp_t0,Sp_Total_t0,Natural_t1,Human_dominated_t1,Area_Total_t1,natural_sp_t1,human_dominated_sp_t1,Sp_Total_t1,delta_Natural,delta_Human_dominated,delta_Area_Total,delta_natural_sp,delta_human_dominated_sp,delta_Sp_Total
1_001,1846330000,643810000,2490140000,7,106,113,1822740000,667400000,2490140000,11,108,119,-23590000,23590000,0,4,2,6
1_002,1836300000,361740000,2198040000,11,98,109,1830020000,368020000,2198040000,8,91,99,-6280000,6280000,0,-3,-7,-10
1_003,1326200000,1173800000,2500000000,8,115,123,1353510000,1146490000,2500000000,9,101,110,27310000,-27310000,0,1,-14,-13
1_004,1764060000,735940000,2500000000,7,100,107,1805400000,694600000,2500000000,6,106,112,41340000,-41340000,0,-1,6,5
1_005,2007800000,492200000,2500000000,11,115,126,2051990000,448010000,2500000000,12,114,126,44190000,-44190000,0,1,-1,0
1_006,665710000,1834290000,2500000000,7,104,111,737370000,1762630000,2500000000,10,113,123,71660000,-71660000,0,3,9,12
1_007,2073890000,426110000,2500000000,9,104,113,1937070000,562930000,2500000000,9,91,100,-136820000,136820000,0,0,-13,-13
1_008,673510000,1826490000,2500000000,9,111,120,343800000,2156200000,2500000000,10,115,125,-329710000,329710000,0,1,4,5
1_009,588340000,1911660000,2500000000,9,109,118,501320000,1998680000,2500000000,15,122,137,-87020000,87020000,0,6,13,19
1_010,1321750000,1178250000,2500000000,11,105,116,1344410000,1155590000,2500000000,13,113,126,22660000,-22660000,0,2,8,10
1_011,1055120000,1444880000,2500000000,11,111,122,1014590000,1485410000,2500000000,14,116,130,-40530000,40530000,0,3,5,8
1_012,1990770000,509230000,2500000000,9,94,103,2038490000,461510000,2500000000,9,98,107,47720000,-47720000,0,0,4,4
1_013,1492240000,1007760000,2500000000,9,112,121,1472190000,1027810000,2500000000,11,103,114,-20050000,20050000,0,2,-9,-7
1_014,1686460000,813540000,2500000000,9,104,113,1742930000,757070000,2500000000,7,100,107,56470000,-56470000,0,-2,-4,-6
1_015,2251430000,248570000,2500000000,8,96,104,2251490000,248510000,2500000000,8,88,96,60000,-60000,0,0,-8,-8
1_016,2050080000,449920000,2500000000,11,118,129,1976680000,523320000,2500000000,13,114,127,-73400000,73400000,0,2,-4,-2
1_017,1920130000,579870000,2500000000,17,109,126,1657940000,842060000,2500000000,8,99,107,-262190000,262190000,0,-9,-10,-19
1_018,1712810000,787190000,2500000000,13,117,130,1544700000,955300000,2500000000,19,121,140,-168110000,168110000,0,6,4,10
1_019,659240000,1840760000,2500000000,10,107,117,523780000,1976220000,2500000000,13,114,127,-135460000,135460000,0,3,7,10
1_020,1169760000,1330240000,2500000000,11,120,131,967930000,1532070000,2500000000,12,115,127,-201830000,201830000,0,1,-5,-4
1_021,480830000,2019170000,2500000000,6,107,113,322380000,2177620000,2500000000,9,104,113,-158450000,158450000,0,3,-3,0
1_022,687010000,1812990000,2500000000,14,129,143,464110000,2035890000,2500000000,18,132,150,-222900000,222900000,0,4,3,7
1_023,1687980000,812020000,2500000000,10,110,120,1635650000,864350000,2500000000,11,109,120,-52330000,52330000,0,1,-1,0
1_024,1552900000,947100000,2500000000,17,130,147,1420850000,1079150000,2500000000,14,121,135,-132050000,132050000,0,-3,-9,-12
1_025,1645260000,854740000,2500000000,22,133,155,1592970000,907030000,2500000000,22,145,167,-52290000,52290000,0,0,12,12
1_026,1634500000,104830000,1739330000,13,115,128,1619130000,120200000,1739330000,14,108,122,-15370000,15370000,0,1,-7,-6
1_027,1718880000,781120000,2500000000,19,114,133,1622260000,877740000,2500000000,15,116,131,-96620000,96620000,0,-4,2,-2
1_028,1674690000,825310000,2500000000,4,82,86,1628260000,871740000,2500000000,7,84,91,-46430000,46430000,0,3,2,5
1_029,889460000,1610540000,2500000000,11,106,117,850770000,1649230000,2500000000,9,114,123,-38690000,38690000,0,-2,8,6
1_030,1582200000,917800000,2500000000,16,121,137,1100250000,1399750000,2500000000,16,123,139,-481950000,481950000,0,0,2,2
1_031,521720000,1978280000,2500000000,14,124,138,407710000,2092290000,2500000000,21,132,153,-114010000,114010000,0,7,8,15
1_032,1168470000,1331530000,2500000000,14,126,140,985640000,1514360000,2500000000,21,132,153,-182830000,182830000,0,7,6,13
1_033,2140990000,128920000,2269910000,6,67,73,2128180000,141730000,2269910000,7,67,74,-12810000,12810000,0,1,0,1
1_034,1903500000,481220000,2384720000,5,89,94,1889280000,495440000,2384720000,8,100,108,-14220000,14220000,0,3,11,14
1_035,1535960000,964040000,2500000000,9,78,87,1550210000,949790000,2500000000,8,94,102,14250000,-14250000,0,-1,16,15
1_036,2000870000,499130000,2500000000,9,87,96,2019500000,480500000,2500000000,8,86,94,18630000,-18630000,0,-1,-1,-2
1_037,1864400000,635600000,2500000000,12,97,109,1927880000,572120000,2500000000,9,107,116,63480000,-63480000,0,-3,10,7
1_038,1812670000,687330000,2500000000,9,101,110,1845970000,654030000,2500000000,8,91,99,33300000,-33300000,0,-1,-10,-11
1_039,1916030000,583970000,2500000000,10,107,117,2150780000,349220000,2500000000,10,109,119,234750000,-234750000,0,0,2,2
1_040,2123670000,376330000,2500000000,11,118,129,2208470000,291530000,2500000000,10,102,112,84800000,-84800000,0,-1,-16,-17
1_041,1731290000,768710000,2500000000,7,95,102,1598690000,901310000,2500000000,7,97,104,-132600000,132600000,0,0,2,2
1_042,1862220000,637780000,2500000000,9,98,107,1808700000,691300000,2500000000,10,108,118,-53520000,53520000,0,1,10,11
1_043,1743070000,756930000,2500000000,6,86,92,1531200000,968800000,2500000000,7,90,97,-211870000,211870000,0,1,4,5
1_044,1857680000,642320000,2500000000,9,98,107,1843890000,656110000,2500000000,13,106,119,-13790000,13790000,0,4,8,12
1_045,1949690000,550310000,2500000000,16,129,145,1912290000,587710000,2500000000,14,108,122,-37400000,37400000,0,-2,-21,-23
1_046,1590750000,909250000,2500000000,9,93,102,1592480000,907520000,2500000000,11,108,119,1730000,-1730000,0,2,15,17
1_047,1731550000,768450000,2500000000,7,100,107,1734990000,765010000,2500000000,10,98,108,3440000,-3440000,0,3,-2,1
1_048,1537500000,962500000,2500000000,14,117,131,1644700000,855300000,2500000000,14,118,132,107200000,-107200000,0,0,1,1
1_049,1660140000,839860000,2500000000,19,129,148,1608330000,891670000,2500000000,15,119,134,-51810000,51810000,0,-4,-10,-14
1_050,2054380000,445620000,2500000000,11,115,126,2130480000,369520000,2500000000,13,124,137,76100000,-76100000,0,2,9,11
1_051,1703840000,796160000,2500000000,12,122,134,1830290000,669710000,2500000000,10,114,124,126450000,-126450000,0,-2,-8,-10
1_052,1559980000,940020000,2500000000,13,121,134,1659630000,840370000,2500000000,12,115,127,99650000,-99650000,0,-1,-6,-7
1_053,1735610000,764390000,2500000000,9,98,107,1707070000,792930000,2500000000,9,89,98,-28540000,28540000,0,0,-9,-9
1_054,2200310000,299690000,2500000000,13,113,126,2177630000,322370000,2500000000,10,112,122,-22680000,22680000,0,-3,-1,-4
1_055,2185580000,314420000,2500000000,6,86,92,2102720000,397280000,2500000000,5,81,86,-82860000,82860000,0,-1,-5,-6
1_056,1853810000,646190000,2500000000,21,125,146,1775140000,724860000,2500000000,19,133,152,-78670000,78670000,0,-2,8,6
1_057,1390050000,1109950000,2500000000,17,116,133,1437240000,1062760000,2500000000,14,132,146,47190000,-47190000,0,-3,16,13
1_058,1132470000,1367530000,2500000000,21,137,158,843320000,1656680000,2500000000,14,118,132,-289150000,289150000,0,-7,-19,-26
1_059,1877780000,622220000,2500000000,14,117,131,1858980000,641020000,2500000000,14,127,141,-18800000,18800000,0,0,10,10
1_060,2110910000,389090000,2500000000,16,90,106,2191560000,308440000,2500000000,17,109,126,80650000,-80650000,0,1,19,20
1_061,2024540000,475460000,2500000000,11,110,121,2151550000,348450000,2500000000,11,117,128,127010000,-127010000,0,0,7,7
1_062,1754620000,85420000,1840040000,22,85,107,1765880000,74160000,1840040000,19,63,82,11260000,-11260000,0,-3,-22,-25
1_063,2074380000,262770000,2337150000,21,83,104,2076890000,260260000,2337150000,14,61,75,2510000,-2510000,0,-7,-22,-29
1_064,2035640000,464360000,2500000000,23,92,115,2024390000,475610000,2500000000,20,66,86,-11250000,11250000,0,-3,-26,-29
1_065,2348590000,151410000,2500000000,14,71,85,2403210000,96790000,2500000000,17,73,90,54620000,-54620000,0,3,2,5
1_066,1514510000,985490000,2500000000,13,63,76,1651870000,848130000,2500000000,13,77,90,137360000,-137360000,0,0,14,14
1_067,1965200000,534800000,2500000000,19,87,106,2054800000,445200000,2500000000,15,69,84,89600000,-89600000,0,-4,-18,-22
1_068,2435620000,57590000,2493210000,22,75,97,2477390000,15820000,2493210000,22,75,97,41770000,-41770000,0,0,0,0
1_069,1955030000,544970000,2500000000,16,86,102,1829250000,670750000,2500000000,13,85,98,-125780000,125780000,0,-3,-1,-4
1_070,2302580000,133230000,2435810000,28,88,116,2341340000,94470000,2435810000,17,68,85,38760000,-38760000,0,-11,-20,-31
1_071,2004110000,495890000,2500000000,18,86,104,2063250000,436750000,2500000000,20,76,96,59140000,-59140000,0,2,-10,-8
1_072,1614020000,885980000,2500000000,13,89,102,1513050000,986950000,2500000000,9,78,87,-100970000,100970000,0,-4,-11,-15
1_073,1469400000,1030600000,2500000000,15,92,107,1504350000,995650000,2500000000,11,85,96,34950000,-34950000,0,-4,-7,-11
1_074,2232160000,105910000,2338070000,26,92,118,2234380000,103690000,2338070000,21,85,106,2220000,-2220000,0,-5,-7,-12
1_075,442170000,2057830000,2500000000,17,80,97,383920000,2116080000,2500000000,6,70,76,-58250000,58250000,0,-11,-10,-21
1_076,1149350000,1350650000,2500000000,11,70,81,1129180000,1370820000,2500000000,14,68,82,-20170000,20170000,0,3,-2,1
1_077,1383210000,1096390000,2479600000,15,80,95,1387140000,1092460000,2479600000,15,76,91,3930000,-3930000,0,0,-4,-4
1_078,357920000,2142080000,2500000000,10,80,90,406620000,2093380000,2500000000,10,75,85,48700000,-48700000,0,0,-5,-5
1_079,610510000,1889490000,2500000000,7,79,86,618720000,1881280000,2500000000,7,80,87,8210000,-8210000,0,0,1,1
1_080,489270000,2010730000,2500000000,6,84,90,501400000,1998600000,2500000000,6,73,79,12130000,-12130000,0,0,-11,-11
1_081,616760000,1883240000,2500000000,12,88,100,616580000,1883420000,2500000000,8,83,91,-180000,180000,0,-4,-5,-9
1_082,529580000,1970420000,2500000000,8,80,88,472840000,2027160000,2500000000,6,72,78,-56740000,56740000,0,-2,-8,-10
1_083,366870000,2133130000,2500000000,19,85,104,343270000,2156730000,2500000000,11,80,91,-23600000,23600000,0,-8,-5,-13
1_084,1878200000,571530000,2449730000,19,93,112,1836440000,613290000,2449730000,21,83,104,-41760000,41760000,0,2,-10,-8
1_085,1864400000,635600000,2500000000,20,90,110,1853580000,646420000,2500000000,17,72,89,-10820000,10820000,0,-3,-18,-21
1_086,1040730000,1459270000,2500000000,19,122,141,964680000,1535320000,2500000000,19,134,153,-76050000,76050000,0,0,12,12
1_087,1190680000,1309320000,2500000000,20,92,112,1188070000,1311930000,2500000000,20,89,109,-2610000,2610000,0,0,-3,-3
1_088,936800000,1563200000,2500000000,17,87,104,947110000,1552890000,2500000000,12,75,87,10310000,-10310000,0,-5,-12,-17
1_089,530870000,1969130000,2500000000,6,90,96,535120000,1964880000,2500000000,6,79,85,4250000,-4250000,0,0,-11,-11
1_090,571770000,1928230000,2500000000,21,88,109,583480000,1916520000,2500000000,22,78,100,11710000,-11710000,0,1,-10,-9
1_091,2440490000,59510000,2500000000,28,86,114,2435280000,64720000,2500000000,24,78,102,-5210000,5210000,0,-4,-8,-12
1_092,964640000,1535360000,2500000000,20,134,154,1345490000,1154510000,2500000000,18,137,155,380850000,-380850000,0,-2,3,1
1_093,751160000,1748840000,2500000000,13,102,115,699700000,1800300000,2500000000,13,106,119,-51460000,51460000,0,0,4,4
1_094,1543620000,956380000,2500000000,18,117,135,1396180000,1103820000,2500000000,20,135,155,-147440000,147440000,0,2,18,20
1_095,840490000,1659510000,2500000000,17,127,144,752730000,1747270000,2500000000,20,130,150,-87760000,87760000,0,3,3,6
1_096,1256080000,1243920000,2500000000,19,133,152,1226050000,1273950000,2500000000,26,151,177,-30030000,30030000,0,7,18,25
1_097,1365120000,1134880000,2500000000,13,114,127,1286650000,1213350000,2500000000,19,122,141,-78470000,78470000,0,6,8,14
1_098,1952430000,121860000,2074290000,12,87,99,1892890000,181400000,2074290000,11,95,106,-59540000,59540000,0,-1,8,7
1_099,1544910000,955090000,2500000000,15,125,140,1308130000,1191870000,2500000000,22,136,158,-236780000,236780000,0,7,11,18
1_100,95550000,2404450000,2500000000,16,108,124,87550000,2412450000,2500000000,11,96,107,-8000000,8000000,0,-5,-12,-17
1_101,541700000,1958300000,2500000000,17,117,134,513530000,1986470000,2500000000,19,125,144,-28170000,28170000,0,2,8,10
1_102,1306910000,1193090000,2500000000,13,91,104,1258770000,1241230000,2500000000,11,102,113,-48140000,48140000,0,-2,11,9
1_103,1776590000,723410000,2500000000,16,107,123,1692790000,807210000,2500000000,17,121,138,-83800000,83800000,0,1,14,15
1_104,1582660000,917340000,2500000000,15,121,136,1360100000,1139900000,2500000000,13,111,124,-222560000,222560000,0,-2,-10,-12
1_105,580230000,1919770000,2500000000,16,121,137,771600000,1728400000,2500000000,20,134,154,191370000,-191370000,0,4,13,17
1_106,1936370000,563630000,2500000000,14,117,131,1845850000,654150000,2500000000,17,126,143,-90520000,90520000,0,3,9,12
1_107,1900120000,599880000,2500000000,16,109,125,1993390000,506610000,2500000000,19,119,138,93270000,-93270000,0,3,10,13
1_108,561120000,1938880000,2500000000,10,95,105,547420000,1952580000,2500000000,11,102,113,-13700000,13700000,0,1,7,8
1_109,453900000,2046100000,2500000000,13,111,124,394410000,2105590000,2500000000,13,125,138,-59490000,59490000,0,0,14,14
1_110,1018480000,1481520000,2500000000,16,112,128,1007080000,1492920000,2500000000,15,114,129,-11400000,11400000,0,-1,2,1
1_111,1595750000,904250000,2500000000,15,107,122,1610700000,889300000,2500000000,14,109,123,14950000,-14950000,0,-1,2,1
1_112,749900000,1750100000,2500000000,14,110,124,831070000,1668930000,2500000000,12,106,118,81170000,-81170000,0,-2,-4,-6
1_113,520720000,1979280000,2500000000,12,111,123,492760000,2007240000,2500000000,18,127,145,-27960000,27960000,0,6,16,22
1_114,2031680000,468320000,2500000000,23,113,136,2022500000,477500000,2500000000,19,116,135,-9180000,9180000,0,-4,3,-1
1_115,1422430000,1077570000,2500000000,16,108,124,1390810000,1109190000,2500000000,15,107,122,-31620000,31620000,0,-1,-1,-2
1_116,1830940000,669060000,2500000000,12,94,106,1868760000,631240000,2500000000,10,100,110,37820000,-37820000,0,-2,6,4
1_117,1158210000,1341790000,2500000000,13,90,103,1165530000,1334470000,2500000000,10,89,99,7320000,-7320000,0,-3,-1,-4
1_118,1216110000,1283890000,2500000000,13,103,116,1357670000,1142330000,2500000000,11,115,126,141560000,-141560000,0,-2,12,10
1_119,2211050000,288950000,2500000000,19,101,120,2209120000,290880000,2500000000,16,103,119,-1930000,1930000,0,-3,2,-1
1_120,1203690000,1296310000,2500000000,23,108,131,1149990000,1350010000,2500000000,22,120,142,-53700000,53700000,0,-1,12,11
1_121,1296010000,1203990000,2500000000,14,92,106,1218180000,1281820000,2500000000,13,110,123,-77830000,77830000,0,-1,18,17
1_122,851850000,1648150000,2500000000,23,127,150,843630000,1656370000,2500000000,21,134,155,-8220000,8220000,0,-2,7,5
1_123,1219300000,1280700000,2500000000,12,101,113,1255000000,1245000000,2500000000,13,96,109,35700000,-35700000,0,1,-5,-4
1_124,1588220000,911780000,2500000000,15,104,119,1645130000,854870000,2500000000,14,108,122,56910000,-56910000,0,-1,4,3
1_125,1845610000,654390000,2500000000,14,98,112,1900960000,599040000,2500000000,14,115,129,55350000,-55350000,0,0,17,17
1_126,2160380000,339620000,2500000000,14,96,110,2251890000,248110000,2500000000,17,110,127,91510000,-91510000,0,3,14,17
1_127,2066980000,433020000,2500000000,16,113,129,2122380000,377620000,2500000000,18,110,128,55400000,-55400000,0,2,-3,-1
1_128,1630310000,869690000,2500000000,14,106,120,1811090000,688910000,2500000000,18,119,137,180780000,-180780000,0,4,13,17
1_129,1302420000,1197580000,2500000000,22,125,147,1339720000,1160280000,2500000000,23,135,158,37300000,-37300000,0,1,10,11
1_130,1202800000,1297200000,2500000000,20,116,136,1261150000,1238850000,2500000000,17,124,141,58350000,-58350000,0,-3,8,5
1_131,1606280000,893720000,2500000000,19,127,146,1753420000,746580000,2500000000,19,124,143,147140000,-147140000,0,0,-3,-3
1_132,1845380000,654620000,2500000000,20,129,149,1811250000,688750000,2500000000,17,131,148,-34130000,34130000,0,-3,2,-1
1_133,623360000,1876640000,2500000000,17,140,157,329360000,2170640000,2500000000,13,131,144,-294000000,294000000,0,-4,-9,-13
1_134,1326620000,1173380000,2500000000,15,134,149,1456620000,1043380000,2500000000,19,132,151,130000000,-130000000,0,4,-2,2
1_135,2006540000,493460000,2500000000,17,131,148,2121830000,378170000,2500000000,17,131,148,115290000,-115290000,0,0,0,0
1_136,2113840000,386160000,2500000000,20,129,149,2171740000,328260000,2500000000,17,125,142,57900000,-57900000,0,-3,-4,-7
1_137,321210000,2178790000,2500000000,10,125,135,290790000,2209210000,2500000000,13,125,138,-30420000,30420000,0,3,0,3
1_138,561010000,1938990000,2500000000,16,123,139,597630000,1902370000,2500000000,13,130,143,36620000,-36620000,0,-3,7,4
1_139,1107080000,1392920000,2500000000,10,112,122,1143390000,1356610000,2500000000,14,126,140,36310000,-36310000,0,4,14,18
1_140,1042950000,1457050000,2500000000,17,129,146,974700000,1525300000,2500000000,17,135,152,-68250000,68250000,0,0,6,6
1_141,110460000,2389540000,2500000000,12,111,123,99810000,2400190000,2500000000,11,118,129,-10650000,10650000,0,-1,7,6
1_142,219710000,2280290000,2500000000,12,120,132,228040000,2271960000,2500000000,13,118,131,8330000,-8330000,0,1,-2,-1
1_143,271140000,2228860000,2500000000,16,124,140,252440000,2247560000,2500000000,13,123,136,-18700000,18700000,0,-3,-1,-4
1_144,638110000,1861890000,2500000000,13,124,137,634040000,1865960000,2500000000,15,122,137,-4070000,4070000,0,2,-2,0
1_145,2356410000,143590000,2500000000,18,111,129,2375540000,124460000,2500000000,20,118,138,19130000,-19130000,0,2,7,9
1_146,1488070000,1011930000,2500000000,16,129,145,1459490000,1040510000,2500000000,17,129,146,-28580000,28580000,0,1,0,1
1_147,2286380000,213620000,2500000000,19,116,135,2300830000,199170000,2500000000,16,118,134,14450000,-14450000,0,-3,2,-1
1_148,1105360000,1394640000,2500000000,23,126,149,1136230000,1363770000,2500000000,20,130,150,30870000,-30870000,0,-3,4,1
1_149,1934490000,305310000,2239800000,7,93,100,1945410000,294390000,2239800000,12,100,112,10920000,-10920000,0,5,7,12
1_150,1566760000,113370000,1680130000,9,102,111,1583190000,96940000,1680130000,15,99,114,16430000,-16430000,0,6,-3,3
1_151,1009410000,1490590000,2500000000,22,128,150,936160000,1563840000,2500000000,21,141,162,-73250000,73250000,0,-1,13,12
1_152,1253060000,1246940000,2500000000,14,114,128,1180730000,1319270000,2500000000,16,129,145,-72330000,72330000,0,2,15,17
1_153,2094930000,405070000,2500000000,20,133,153,1827190000,672810000,2500000000,22,137,159,-267740000,267740000,0,2,4,6
1_154,1747490000,752510000,2500000000,16,115,131,1788180000,711820000,2500000000,16,127,143,40690000,-40690000,0,0,12,12
1_155,1415710000,1084290000,2500000000,21,124,145,1475620000,1024380000,2500000000,20,135,155,59910000,-59910000,0,-1,11,10
1_156,551220000,1948780000,2500000000,15,121,136,367500000,2132500000,2500000000,13,125,138,-183720000,183720000,0,-2,4,2
1_157,543120000,1956880000,2500000000,17,117,134,537400000,1962600000,2500000000,17,122,139,-5720000,5720000,0,0,5,5
1_158,1945660000,554340000,2500000000,18,128,146,1926620000,573380000,2500000000,18,136,154,-19040000,19040000,0,0,8,8
1_159,1446130000,1053870000,2500000000,20,128,148,1511720000,988280000,2500000000,14,121,135,65590000,-65590000,0,-6,-7,-13
1_160,1907420000,592580000,2500000000,17,115,132,1905060000,594940000,2500000000,20,130,150,-2360000,2360000,0,3,15,18
1_161,1704060000,795940000,2500000000,17,124,141,1538440000,961560000,2500000000,15,130,145,-165620000,165620000,0,-2,6,4
1_162,1884600000,615400000,2500000000,14,118,132,1764640000,735360000,2500000000,16,131,147,-119960000,119960000,0,2,13,15
1_163,1646720000,853280000,2500000000,19,129,148,1307760000,1192240000,2500000000,15,131,146,-338960000,338960000,0,-4,2,-2
1_164,1874630000,123370000,1998000000,11,102,113,1875410000,122590000,1998000000,10,95,105,780000,-780000,0,-1,-7,-8
1_165,1827280000,667650000,2494930000,18,119,137,1825160000,669770000,2494930000,18,116,134,-2120000,2120000,0,0,-3,-3
1_166,1209180000,1290820000,2500000000,15,114,129,1276270000,1223730000,2500000000,18,128,146,67090000,-67090000,0,3,14,17
1_167,2027250000,472750000,2500000000,16,114,130,2076140000,423860000,2500000000,13,113,126,48890000,-48890000,0,-3,-1,-4
1_168,1378240000,1121760000,2500000000,15,108,123,1415780000,1084220000,2500000000,13,122,135,37540000,-37540000,0,-2,14,12
1_169,1613400000,886600000,2500000000,16,113,129,1654040000,845960000,2500000000,16,122,138,40640000,-40640000,0,0,9,9
1_170,2041180000,458820000,2500000000,12,101,113,2083610000,416390000,2500000000,13,103,116,42430000,-42430000,0,1,2,3
1_171,1988400000,511600000,2500000000,19,131,150,2042990000,457010000,2500000000,18,131,149,54590000,-54590000,0,-1,0,-1
1_172,1906060000,593940000,2500000000,16,127,143,1938070000,561930000,2500000000,15,129,144,32010000,-32010000,0,-1,2,1
1_173,1220540000,1279460000,2500000000,22,144,166,1321080000,1178920000,2500000000,18,136,154,100540000,-100540000,0,-4,-8,-12
1_174,1427010000,1072990000,2500000000,17,118,135,1298140000,1201860000,2500000000,16,129,145,-128870000,128870000,0,-1,11,10
1_175,1907840000,592160000,2500000000,13,118,131,1903480000,596520000,2500000000,17,130,147,-4360000,4360000,0,4,12,16
1_176,1088870000,1411130000,2500000000,21,136,157,1038190000,1461810000,2500000000,23,150,173,-50680000,50680000,0,2,14,16
1_177,1899120000,600880000,2500000000,16,126,142,1921200000,578800000,2500000000,19,119,138,22080000,-22080000,0,3,-7,-4
1_178,1333010000,1166990000,2500000000,21,143,164,1225670000,1274330000,2500000000,21,137,158,-107340000,107340000,0,0,-6,-6
1_179,1461890000,1038110000,2500000000,15,125,140,1464960000,1035040000,2500000000,15,127,142,3070000,-3070000,0,0,2,2
1_180,1003030000,1496970000,2500000000,19,131,150,1009050000,1490950000,2500000000,19,122,141,6020000,-6020000,0,0,-9,-9
1_181,1979250000,136800000,2116050000,12,110,122,1983170000,132880000,2116050000,15,111,126,3920000,-3920000,0,3,1,4
1_182,420560000,2079440000,2500000000,16,125,141,436390000,2063610000,2500000000,10,117,127,15830000,-15830000,0,-6,-8,-14
1_183,856990000,1643010000,2500000000,14,128,142,881230000,1618770000,2500000000,21,138,159,24240000,-24240000,0,7,10,17
1_184,1624180000,875820000,2500000000,12,97,109,1760470000,739530000,2500000000,16,106,122,136290000,-136290000,0,4,9,13
1_185,976540000,1523460000,2500000000,18,113,131,1066210000,1433790000,2500000000,16,122,138,89670000,-89670000,0,-2,9,7
1_186,849330000,1650670000,2500000000,21,134,155,631580000,1868420000,2500000000,24,140,164,-217750000,217750000,0,3,6,9
1_187,1051970000,1448030000,2500000000,20,125,145,1048140000,1451860000,2500000000,21,135,156,-3830000,3830000,0,1,10,11
1_188,1277270000,1222730000,2500000000,19,131,150,1292510000,1207490000,2500000000,24,138,162,15240000,-15240000,0,5,7,12
1_189,1969350000,530650000,2500000000,24,131,155,1972980000,527020000,2500000000,16,116,132,3630000,-3630000,0,-8,-15,-23
1_190,1526590000,973410000,2500000000,24,136,160,1311990000,1188010000,2500000000,22,143,165,-214600000,214600000,0,-2,7,5
1_191,1713270000,786730000,2500000000,21,125,146,1719790000,780210000,2500000000,20,119,139,6520000,-6520000,0,-1,-6,-7
1_192,2203440000,296560000,2500000000,20,123,143,2240110000,259890000,2500000000,25,129,154,36670000,-36670000,0,5,6,11
1_193,2123450000,67450000,2190900000,5,98,103,2112140000,78760000,2190900000,11,107,118,-11310000,11310000,0,6,9,15
1_194,1675820000,790920000,2466740000,13,118,131,1660730000,806010000,2466740000,16,131,147,-15090000,15090000,0,3,13,16
1_195,2022910000,477090000,2500000000,5,98,103,1999300000,500700000,2500000000,8,109,117,-23610000,23610000,0,3,11,14
1_196,749690000,1750310000,2500000000,13,115,128,753520000,1746480000,2500000000,13,119,132,3830000,-3830000,0,0,4,4
1_197,1704880000,39820000,1744700000,7,101,108,1702530000,42170000,1744700000,11,110,121,-2350000,2350000,0,4,9,13
1_198,1822810000,64650000,1887460000,9,97,106,1818100000,69360000,1887460000,8,97,105,-4710000,4710000,0,-1,0,-1
1_199,1525190000,974810000,2500000000,11,127,138,1506150000,993850000,2500000000,15,123,138,-19040000,19040000,0,4,-4,0
